Antigen	Genes
Acaa2	['Cldn34d', 'Brox', 'Aida', 'Tmem125', 'Greb1']
Acss2	['Txndc11', 'Cldn34d', 'Kpna1', 'Tmem125', 'Fbxw4']
Actb	['Greb1', 'Nkx2-6', 'E030030I06Rik', 'Brox', 'Aida', 'Fbxw4', 'Cldn34d', 'Pknox1']
Adnp	['Brox', 'Aida', 'Selenov', 'Dll3', 'Txndc11', 'Mis18bp1', 'E030030I06Rik', 'Cldn34d', 'Fbxw4', 'Greb1', 'Chp1', 'Exd1', 'C3ar1', 'Oscar', 'Ndufa3', 'Wdr31', 'Bspry', 'Rfwd3', 'Nkx2-6', 'Igfbp4', 'Lrch1', 'Fcgr1', 'Kcnn3', 'Apc', 'Rnf220', 'Hacl1', 'Btd', 'Ssr2', 'Zpr1', 'Apoa5', 'Taf5', 'Pknox1', 'Bud13', 'Timm44', 'Camk1d', 'Casr', 'Zdhhc6', 'Vti1a', 'Cyp21a1', 'Hexb', 'Dcdc2a', 'Sec22c', 'Pigyl', 'Kpna1', 'Srf', 'Cul9', 'Ramac', 'Dnm1l', 'Nek3', 'Ckap2', 'Lrmp', 'Serpinf2', 'Cbfa2t2', 'Gins4', 'Nek4', 'Itih1', 'Wwp2', 'Nob1', 'Use1', 'Thra', 'Med24', 'Crtac1', 'Rbm34', 'Dnmbp', 'Cfap45', 'Fosl1', 'Gne', 'Ttc16', 'Ptrh1', 'Cfap157', 'Rabepk', 'Klf2', 'Nr2f6', 'BC107364', 'Gpcpd1', 'Atp8b1', 'Slc7a8', 'Bloc1s4', 'Tmem51', 'Cwf19l2', 'Jup', 'Zfp72', 'Prss50', 'Spdye4b', 'Rbak']
Aebp2	['Palb2', 'Dctn5', 'Vamp4', 'Rpl22', 'Rnf207', 'Exoc2', 'Snrpb2', 'Pomt1', 'Vps13d', 'Tmbim4', 'Irak3', 'Cyp2w1', 'Cox19', 'Psmd3', 'Txndc11', 'Cldn34d', 'Ccdc59', 'Mettl25', 'Gne', 'Sugp2', 'Armc6', 'Ptcd1', 'Cpsf4', 'Snx18', 'Psma1', 'Pdcd5', 'Txnl4a', 'Rbfa', 'Gins3', 'Ubr4', 'Pex1', 'Rbm48', 'Tex2', 'Taf13', 'Tmem167b', 'Ambra1', 'Pgp', 'Mlst8', 'Caskin1', 'Bricd5', 'Taok3', 'Suds3', 'Brd3os', 'Ino80', 'Ercc2', 'Rbsn', 'Dctn6', 'Mboat4', 'Taf3', 'Rab35', 'Pet117', 'Kat14', 'Heatr5a', 'Hgsnat', 'Xpo5', 'Polh', 'Tmem125', 'Kdm8', 'Sprtn', 'Exoc8', 'Nup50', 'Smarcd1', 'Gpd1', 'Cstf1', 'Aurka', 'Hdgf', 'Rab3gap2', 'Eif2b3', 'Raf1', 'Vps28', 'Slc39a4', 'Smarca5', 'Lrp12', 'Upf1', 'Dph1', 'Rtn4rl1', 'U2surp', 'Tcea1', 'Mrps15', 'Ogfod3', 'Hexdc', 'Cct8', 'Crtc1', 'Mmadhc', 'Kras', 'Vps72', 'Pip5k1a', 'Hmgxb4', 'Znhit3', 'Frmpd1', 'Hp1bp3', 'Sdf4', 'B3galt6', 'Rfx1', 'Psma2', 'Mrpl32', 'Fan1', 'Clcn4', 'Srrm1', 'Rev3l', 'Zbtb41', 'Zc3h14', 'Ptpn21', 'Rasal2', 'Gm11213', 'Wrb', 'Gm2237', 'Dcp1b', 'Rad54l', 'Gm10499', 'Cog6', 'C2cd5', 'Alkbh5', 'Dcdc2a', 'Ints13', 'Fgfr1op2', 'Gzmm', 'Cdc34', 'Ehmt1', 'Rwdd1', 'Msh4', 'Rabggtb', 'Dux', 'Gm4981', 'Herc4', 'Avl9', 'Lsm5', 'Sumf2', 'Sdha', 'Ccdc127', 'BC017158', 'Prkaca', 'Dync1li1', 'Yeats4', 'Gmcl1', 'Spg7', 'Rock1', 'Epop', 'Sppl2b', 'Lsm7', 'Brox', 'Aida', 'Pex14', 'Tcf23', 'Preb', 'E030030I06Rik', 'Wiz', 'Sae1', 'Actn4', 'Denr', 'Nadk', 'Arsk', 'Ttc37', 'Shox2', 'Rsrc1', 'Mtrr', 'Pik3c3', 'Gm10406', 'Arrdc4', 'Rrs1', 'Ndufa5', 'Asb15', 'Adhfe1', 'Tepsin', 'Ndufaf8', 'Taf5l', 'Rps6kc1', 'Urb2', 'Tmem116', 'Erp29', 'Mrs2', 'Fcgr3', 'Mettl22', 'Ccser2', 'Sp2', 'Pex16', 'Large2', '1700029I15Rik', 'Yars', 'S100pbp', 'Cnot1', 'Ap3m2', 'Pex13', 'Pus10', 'Smarca4', 'Sos1', 'Safb', 'Safb2', 'Ttbk2', 'Specc1l', 'Tmed4', 'Ddx56', '2610042L04Rik', 'Snrnp70', 'Kcna7', 'Nkap', 'Fyco1', 'Ptk2', 'Ubqln5', 'Zmiz2', 'Ndrg3', 'Ccdc171', 'Trmt1', 'Sfi1', 'Nacc1', 'Eif4enif1', 'Mis12', 'Derl2', 'H2aj', 'Tsga10', 'Lipt1', 'Tbc1d14', 'Stx12', 'Gm3752', 'Klhdc4', 'Slx4', 'Hipk2', '2310061I04Rik', 'Tmem94', 'Tmem134', 'Efnb2', 'Aip', 'Bbs2', 'Ube2c', 'Tnnc2', 'Morc2a', 'Cherp', 'B230219D22Rik', 'Mmaa', 'Mrpl45', 'Rgs20', 'Clcc1', 'Atp6v0d1', 'Agrp', 'Shfl', 'Ppan', 'Angptl6', 'Mpp7', 'Mtch2', 'Hsp90aa1', 'Gdf15', 'Pds5b', 'N4bp2l2']
Aff3	['Greb1', 'Usp31', 'Cldn34d', 'Txndc15', 'Lemd2', 'Spink10', 'Fbxo38', 'Nkx2-6', 'Txndc11', 'Cdk5rap2', 'Gm18905', 'Slmap', 'Hacd2', 'Ccdc124', 'Kpna1', 'Cradd', 'Slx4ip', 'Mkks', 'Prkcsh', 'Ccdc151', 'Calr', 'Tpgs1', 'Madcam1', 'Aida', 'Brox', 'Rcc1l', 'Gtf2ird2', 'Psmb5', 'Psmb11', 'Tor1a', 'Il31ra', 'Nefm', 'Knstrn', 'Tomm40l', 'Nr1i3', 'Apoa2', 'Uqcrh', 'Lrrc41', 'Creld2', 'Alg12', 'Fbxo42', 'Habp4', 'Morf4l1', 'Ska1', 'Cxxc1', 'A430005L14Rik', 'Hexb', 'N4bp1', 'Exosc2', 'Prpsap1', 'E030030I06Rik', 'Sec23ip', 'Mcmbp', 'Kat7', 'Gm29733', 'Zfp37', 'Usf1', 'Tstd1', 'Pknox1', 'Khdc4', 'Lgals6', 'Lgals4', 'Ech1', 'Trim80', 'Ndrg3', 'Fbxw4', 'Rrm1', 'Sspn', 'Gtf3c6', 'Zfp524', 'Fiz1', 'Zfp865', 'Vps35l', 'Prmt5', 'Aldh9a1', 'Supt5', 'Nhlrc1', 'Abhd6', 'Yy1', 'Tbc1d17', 'Pnkp', 'Akt1s1', 'Ilf2', 'Imp4', 'Ccdc115', 'Inpp5f', 'Npr1', 'Olfr806', 'Cnnm2', 'Osbpl1a', 'Polrmt', 'Ctnna3', 'Trim7', 'Fbxo31', 'Tbl1xr1', 'Zfp839', 'Mok', 'Prepl', 'Camkmt', 'Mrpl47', 'Ndufb5', 'Mcts2', 'Dedd', 'Ncdn', 'AU040320', 'Arhgap10', 'Knl1', 'Mettl3', 'Rab11a', '0610009B22Rik', 'Pllp', 'Wbp4', 'Elf1', 'Nap1l5', 'Rab7']
Aff4	['Greb1', 'Nkx2-6', 'Olfr806', 'Hexb', 'Abhd6', 'Txndc11', 'Il31ra', 'Cldn34d', 'Pcdh20', 'Olfm1', 'Kpna1', 'Aldh9a1', 'Cox8c', 'Wwox', 'Aadacl2fm1', 'Pknox1', 'Il2', 'Cbr1', 'Setd4', 'Phlda1', 'Cd209a', 'Astl', 'Dusp2', 'Hspa5', 'Tmem125', 'Tent5c', 'Odc1', 'Esr1', 'Olfr1274']
Ahcy	['Il31ra', 'Txndc11', 'Greb1', 'Nkx2-6', 'Kpna1', 'Brox', 'Aida', 'Hexb', 'Aldh9a1', 'E030030I06Rik', 'Pknox1', 'Sspn', 'Fbxw4', 'Vmn1r2', 'Dnah7b', 'Rsph3b', 'Gm10710', 'Dchs2', 'Osbpl1a', 'Gsdma2', 'Abhd6', 'Col6a6', 'Clcn4', 'Cerk']
Ahr	['Cldn34d', 'Brox', 'Aida', 'Txndc11', 'E030030I06Rik', 'Greb1', 'Lekr1', 'Nkx2-6', 'Tmem125', 'Serpine1', 'Cyp1b1']
Aicda	['Txndc11', 'Cldn34d', 'Kpna1', 'Hexb', 'Brox', 'Aida', 'Sspn', 'Il31ra']
