Antigen	Genes
Acaa2	['Cldn34d', 'Brox', 'Aida', 'Tmem125', 'Greb1', 'Txndc11', 'Kpna1']
Acss2	['Cldn34d', 'Txndc11', 'Kpna1', 'Brox', 'Aida', 'Fbxw4', 'E030030I06Rik', 'Il31ra', 'Vmn2r102', 'Csta2', 'Tmem125']
Actb	['Greb1', 'Nkx2-6', 'E030030I06Rik', 'Brox', 'Aida', 'Fbxw4', 'Cldn34d', 'Pknox1']
Adnp	['Brox', 'Aida', 'Selenov', 'Dll3', 'Txndc11', 'Mis18bp1', 'E030030I06Rik', 'Cldn34d', 'Fbxw4', 'Greb1', 'Exd1', 'Chp1', 'C3ar1', 'Oscar', 'Ndufa3', 'Wdr31', 'Bspry', 'Rfwd3', 'Nkx2-6', 'Igfbp4', 'Lrch1', 'Fcgr1', 'Kcnn3', 'Apc', 'Rnf220', 'Hacl1', 'Btd', 'Ssr2', 'Zpr1', 'Apoa5', 'Taf5', 'Pknox1', 'Bud13', 'Timm44', 'Camk1d', 'Casr', 'Zdhhc6', 'Vti1a', 'Cyp21a1', 'Hexb', 'Dcdc2a', 'Sec22c', 'Pigyl', 'Kpna1', 'Srf', 'Cul9', 'Ramac', 'Dnm1l', 'Nek3', 'Ckap2', 'Lrmp', 'Serpinf2', 'Cbfa2t2', 'Gins4', 'Nek4', 'Itih1', 'Wwp2', 'Nob1', 'Use1', 'Thra', 'Med24', 'Crtac1', 'Rbm34', 'Dnmbp', 'Cfap45', 'Fosl1', 'Gne', 'Ttc16', 'Ptrh1', 'Cfap157', 'Rabepk', 'Klf2', 'Nr2f6', 'BC107364', 'Gpcpd1', 'Atp8b1', 'Slc7a8', 'Bloc1s4', 'Tmem51', 'Cwf19l2', 'Jup', 'Zfp72', 'Prss50', 'Spdye4b', 'Rbak', 'Dnpep', 'Ftl1', 'Bax', 'Rab37', 'Il31ra', 'Olfr806', 'Pxt1', 'Kctd20', 'Tjp2', 'Clcn4', 'Ccdc125', 'Ppib', 'Pkd1', 'Tmem38b', 'Amd2', 'Amd1', 'Emid1', 'Rbm27', 'A4galt', 'Nck1', 'Dnajc30', 'Bud23', 'Tmem259', 'Cnn2', 'Abca7', 'Ubr4', 'Pfas', 'Ctc1', 'Vasp', 'Rtn2', 'Ppm1n', 'Esyt1', 'Pla2g1b', 'Glt1d1', 'Gatad2a', 'Fcgr3', 'Zfp354b', 'Tmem221', 'Slc27a1', 'Nxnl1', 'Bri3', 'Tmem131', 'Snrnp200', '1810024B03Rik', 'Mt2', 'Glo1', 'Bcl3', 'Zscan22', 'March5', 'Cpeb3', 'Afg1l', 'Dnajb8', 'Ssc4d', 'Gjc1', 'Slx4', 'Smurf2', 'Nr2c2', 'Palm3', 'Misp3', 'Ly6g6f', 'Ly6g6d', 'Abhd16a', 'Vps36', 'Utp6', 'Fgf17', 'Dmtn', 'Cenph', 'Ccnb1', 'Mt1', 'Dym', 'Unk', 'H3f3b', 'Galk1', 'Ak1', 'Stk40', 'Lsm10', 'Vmn1r2', 'Sash1', 'Zfp423', 'Wapl', 'Abhd6', 'Hipk4', 'Ngdn', 'Gtf3a', 'Uso1', 'Piezo1', 'G3bp2', 'Zkscan1', 'Plekhg4', 'Cenpm', 'Ncaph', 'Itpripl1', 'Padi4', 'Dpep3', 'Prnd', 'R3hdm4', 'Med16', 'Kiss1r', 'Smug1', 'Ppp2r2a', 'Rsl1d1', 'Eaf2', 'Loxl1', 'Sptbn5', 'Ano7', 'Tmem40', 'Cand2', 'Mybpc2', 'Ankrd33', 'Mkrn2os', 'Mkrn2', 'Ap4e1', 'Tfrc', 'Zfp335', 'Fancc', 'Creg2', 'Rara', 'Ndufv3', 'Rhbdd3', 'Ewsr1', 'Adgre5', 'Pygo1', 'Zfp647', 'Ddr1', 'D230025D16Rik', 'Slc11a1', 'Fbxo11', 'Irf2', 'Pigx', 'Magt1', 'Cox7b', 'Cep19', 'Atp7a', 'Zfp346', 'Uimc1', 'Morn3', 'Asxl2', 'Bptf', 'Fbxo4', 'B230219D22Rik', 'Dtx1', 'Ddx59', 'Ppia', 'Selplg', 'Cux2', 'Gm13212', 'Dhx32', 'Snf8', 'Gm3448', 'Gm3417', 'Slc25a24', 'Mllt11', 'Map2k2', 'Gabpb2', 'Creb3l3', 'Cdc42se1', 'Alox12', 'Rbfox2', 'Kcnmb4', 'Cacybp', 'Coq10a', 'Ankrd52', 'Fam78a', 'Wdr62', 'Clip3', 'Asb8', 'Ap2a2', 'Tesmin', 'Ppp1ccb', 'Ppp1cc', 'Adamts9', 'Arhgap39', 'Mlh3', 'Dtnb', 'Gpatch3', 'Rpl10a', 'Tet2', 'Lin52', 'Gask1b', 'Aldh6a1', 'Znrd1as', '2410137M14Rik', 'Tmem202', 'Hexa', 'Ajap1', 'Vhl', 'Tcte3', 'Rsbn1l', 'Ermard', 'Smtn', 'Rap1gap2', 'Mesp1', 'Chadl', 'Rexo4', 'Kbtbd6', 'Adamts13', 'Ldhc', 'Nlrx1', 'Sh3pxd2b', 'Ldha', 'Cela3b', 'Gclm', 'AB124611', 'Cpne2', 'Il17ra', 'Sult2b1', 'Ccno', 'Msrb3', 'Zfp213', 'Themis2', 'Prrc2b', 'Tspan10', 'Pde6g', 'Oxld1', 'Gtf2a1', 'Gsdmc', 'Ccdc137', 'C2cd4a', 'Actl6a', '2210016L21Rik', 'Atp6v0a4', 'Dync1i2', 'Srgap1', 'Tkt', 'Rufy2', 'Mapk15', 'Cyba', 'Ccdc166', 'Ctnnb1', 'Pou5f1', 'Spef1l', 'Ube2b', 'Rgl1', 'Cnot4', 'Cdkl3', 'Ncmap', 'Tpgs2', 'AW554918', 'Rab11fip3', 'Tgif1', 'Homer3', 'Lmnb1', 'Tead4', 'Treh', 'Zscan21', 'Pef1', 'Gins2', 'Zcchc8', 'Lrwd1', 'Alkbh4', 'Tbl3', 'Rps2', 'Rnf151', 'Tfap4', 'Hvcn1', 'Ikzf3', 'Pak1ip1', 'Kif20b', 'Krt88', 'Krt81', 'Fam120a', 'Chd2', '9030025P20Rik', 'Sftpc', 'Plxnb2', 'Lgi3', 'Bmp1', 'D030056L22Rik', 'Snx2', 'Gal3st2b', 'Zfp809', 'Phc1', 'Hmgb2', '1600014C10Rik', 'Raf1', 'Fance', 'Tec', 'Erlin2', 'Cd320', 'Fam57b', 'Donson', 'Arl14epl', 'Tor1aip2', 'Tor1aip1', 'Rpl13', 'Tomt', 'Lamtor1', 'Anapc15', 'Hrk', 'Tert', 'Phldb3', 'Pex5', 'Senp5', 'Clasrp', 'Nipsnap2', 'Mrps17', 'Rasgef1a', 'Pla2g15', 'Esrp2', 'Gm3435', 'Ptpn14', 'Scaf11', 'Rbpms', 'Glg1', 'Ncaph2', 'Lmf2', 'Dennd5b', 'Rab27a', 'Fra10ac1', 'Fignl2', 'Tmco1', 'Heatr5a', 'Hic2', 'Cd248', 'Psma3', 'Nup160', 'Cdkn2aip', 'Mettl1', 'Eef1akmt3', 'Cyp27b1', 'Trappc6b', 'Pnn', 'Trim36', 'Nek5', 'Il22ra1', 'Arhgef12', 'Zdhhc4', 'Zfp654', 'Cggbp1', 'Pde4a', 'Upk3b', 'Keap1', 'Kcnn1', 'Ccdc124', 'Pigu', 'Stat5b', 'Spag8', 'Mob3b', 'Hint2', 'Raly', 'Paxip1', 'Rps10', 'Smad3', 'Ift46', 'Arcn1', 'Lgals7', 'Paip2', 'H2az2', 'Papln', 'Elmsan1', 'Uba3', 'Ddx19a', 'Mreg', 'Boll', 'Mapk6']
Aebp2	['Palb2', 'Dctn5', 'Vamp4', 'Rpl22', 'Rnf207', 'Exoc2', 'Snrpb2', 'Pomt1', 'Vps13d', 'Tmbim4', 'Irak3', 'Cyp2w1', 'Cox19', 'Psmd3', 'Txndc11', 'Cldn34d', 'Mettl25', 'Ccdc59', 'Gne', 'Sugp2', 'Armc6', 'Ptcd1', 'Cpsf4', 'Snx18', 'Psma1', 'Pdcd5', 'Txnl4a', 'Rbfa', 'Gins3', 'Ubr4', 'Rbm48', 'Pex1', 'Tex2', 'Tmem167b', 'Taf13', 'Ambra1', 'Pgp', 'Mlst8', 'Caskin1', 'Bricd5', 'Taok3', 'Suds3', 'Brd3os', 'Ino80', 'Ercc2', 'Rbsn', 'Mboat4', 'Dctn6', 'Taf3', 'Rab35', 'Pet117', 'Kat14', 'Heatr5a', 'Hgsnat', 'Xpo5', 'Polh', 'Tmem125', 'Kdm8', 'Sprtn', 'Exoc8', 'Nup50', 'Smarcd1', 'Gpd1', 'Cstf1', 'Aurka', 'Hdgf', 'Rab3gap2', 'Eif2b3', 'Raf1', 'Vps28', 'Slc39a4', 'Smarca5', 'Lrp12', 'Upf1', 'Rtn4rl1', 'Dph1', 'U2surp', 'Tcea1', 'Mrps15', 'Ogfod3', 'Hexdc', 'Cct8', 'Crtc1', 'Mmadhc', 'Kras', 'Vps72', 'Pip5k1a', 'Hmgxb4', 'Znhit3', 'Frmpd1', 'Hp1bp3', 'Sdf4', 'B3galt6', 'Rfx1', 'Psma2', 'Mrpl32', 'Fan1', 'Clcn4', 'Srrm1', 'Rev3l', 'Zbtb41', 'Zc3h14', 'Ptpn21', 'Rasal2', 'Gm11213', 'Wrb', 'Gm2237', 'Dcp1b', 'Rad54l', 'Gm10499', 'Cog6', 'C2cd5', 'Alkbh5', 'Dcdc2a', 'Ints13', 'Fgfr1op2', 'Gzmm', 'Cdc34', 'Ehmt1', 'Rwdd1', 'Rabggtb', 'Msh4', 'Gm4981', 'Dux', 'Herc4', 'Lsm5', 'Avl9', 'Sumf2', 'Sdha', 'Ccdc127', 'BC017158', 'Prkaca', 'Dync1li1', 'Yeats4', 'Gmcl1', 'Spg7', 'Rock1', 'Sppl2b', 'Lsm7', 'Epop', 'Brox', 'Aida', 'Pex14', 'Tcf23', 'Preb', 'E030030I06Rik', 'Wiz', 'Sae1', 'Actn4', 'Denr', 'Nadk', 'Ttc37', 'Arsk', 'Shox2', 'Rsrc1', 'Mtrr', 'Pik3c3', 'Gm10406', 'Arrdc4', 'Rrs1', 'Ndufa5', 'Asb15', 'Adhfe1', 'Tepsin', 'Ndufaf8', 'Urb2', 'Taf5l', 'Rps6kc1', 'Tmem116', 'Erp29', 'Mrs2', 'Fcgr3', 'Mettl22', 'Ccser2', 'Sp2', 'Pex16', 'Large2', '1700029I15Rik', 'Yars', 'S100pbp', 'Cnot1', 'Ap3m2', 'Pus10', 'Pex13', 'Smarca4', 'Sos1', 'Safb', 'Safb2', 'Ttbk2', 'Specc1l', 'Tmed4', 'Ddx56', '2610042L04Rik', 'Snrnp70', 'Kcna7', 'Nkap', 'Fyco1', 'Ubqln5', 'Ptk2', 'Zmiz2', 'Ndrg3', 'Ccdc171', 'Trmt1', 'Sfi1', 'Nacc1', 'Eif4enif1', 'Mis12', 'Derl2', 'H2aj', 'Tsga10', 'Lipt1', 'Tbc1d14', 'Stx12', 'Gm3752', 'Klhdc4', 'Slx4', 'Hipk2', '2310061I04Rik', 'Tmem94', 'Tmem134', 'Efnb2', 'Aip', 'Bbs2', 'Ube2c', 'Tnnc2', 'Morc2a', 'Mmaa', 'Cherp', 'B230219D22Rik', 'Mrpl45', 'Rgs20', 'Clcc1', 'Atp6v0d1', 'Agrp', 'Shfl', 'Ppan', 'Angptl6', 'Mpp7', 'Mtch2', 'Hsp90aa1', 'Gdf15', 'Pds5b', 'N4bp2l2', 'Zfp638', 'Rpl9', 'Lias', 'Mycbp', 'Vstm5', 'Usp10', 'Rab33b', 'Abhd1', 'Tm9sf2', 'Adgrf2', 'Ranbp3', 'Sharpin', 'Maf1', 'Cyc1', 'Zbtb21', 'Car5a', 'Banp', 'Tmco3', 'Recql', 'Golt1b', 'Dcun1d2', 'Mrps23', 'Anp32a', 'Uqcr11', 'Srsf1', 'Mbd3', 'Lamp1', 'Vdac3', 'Akap1', 'Fam222b', 'Uchl3', 'Klhdc10', 'Ipmk', 'Cisd1', 'Dpf2', 'Dynlrb1', 'Park7', 'Rapgef6', 'Kpna1', 'Baz2a', 'Atp5b', 'Phf12', 'Zfp106', 'Tubd1', 'Snap23', 'Rps6kb1', 'Cc2d1a', '4930432K21Rik', 'Btbd9', 'Mboat2', 'Rpgrip1', 'Hnrnpc', 'Mcph1', 'Alas1', 'Tram1l1', 'Man1b1', 'Tmem170b', 'Plekho1', 'Mink1', 'Tom1', 'Cep295', 'Pgap1', 'Kcnk13', 'Gimd1', 'Ccdc93', 'Ptger3', 'Tnrc6b', 'Ung', 'Alkbh2', 'Gm3500', 'Trank1', 'Thap12', 'Gm3448', 'Gm3417', '9030025P20Rik', 'Rad23b', 'Selenot', 'Zfp12', 'Spdye4a', 'Get4', 'Arntl', 'Nfat5', 'Nlk', 'Gpr88', 'Qrich1', 'Qars', 'Kxd1', 'Fkbp8', 'Srm', 'Bhlhe23', 'Bcas2', 'Npr1', 'Brap', 'Acad10', 'Atxn7l3b', 'Tmem106c', 'Gfod2', '4931414P19Rik', 'Gtf3a', 'Nae1', 'Car7', 'Abcc4', 'Leng8', 'Mepe', 'Tmem106b', 'Pop7', 'Nanos2', 'Mypop', 'Nkx2-4', 'Cep170', 'Hoxb3', 'Hoxb2', 'Gm4969', 'Fbxo46', 'Ppp2r5a', 'Bop1', 'Odc1', 'Dhh', 'Gm7762', 'Fignl1', 'Zar1', 'Puf60', 'Nipsnap2', 'Mrps17', 'Kctd13', 'Bean1', 'Prelid3b', 'Atp5e', 'Sap18b', 'Sap18', 'Gamt', 'Dazap1', 'Tgfbr3l', 'Slc39a10', 'Map2k7', 'Cyp1b1', 'Lss', 'Csnk1a1', 'Cdk18', 'Rasef', 'Rrbp1', 'Map3k21', 'Irf2', 'Xcr1', 'Mto1', 'Cgas', 'Naa50', 'Atp6v1a', 'Vapb', 'Nucb2', 'Uso1', 'G3bp2', 'Ddhd2', 'Shisa3', 'Cpne7', 'G3bp1', 'Atox1', 'Lsm14a', 'Fdft1', 'Mbd1', 'Ska2', 'Prr11', 'Smarcc1', 'Fbxo42', 'Sesn1', 'Cep57l1', 'Pcdhgb7', 'Pcdhgb6', 'Pcdhga9', 'Pcdhga10', 'Erich1', 'Dlgap2', 'Dynll1', 'Cop1', 'Camsap2', 'Mtmr7', 'Shprh', 'Cfap97', 'Fkbp1a', 'Elavl1', 'Mfsd8', 'Fam49b', '2810459M11Rik', 'Zdhhc15', 'Pank2', 'Heatr5b', 'Gpatch11', 'Zfp961', 'Ddx59', 'Zfp771', 'Dctpp1', 'Nmrk2', 'Dapk3', 'Smdt1', 'Ndufa6', 'Pitpnm1', 'Cdk2ap2', 'Rab40c', '0610009B22Rik', 'Osbpl9', 'Ankrd54']
