Antigen	Genes
Acaa2	[]
Acss2	[]
Actb	[]
Adnp	['Mis18bp1', 'Exd1', 'Chp1', 'Oscar', 'Ndufa3', 'Bspry', 'Rfwd3', 'Igfbp4', 'Lrch1', 'Zpr1', 'Zdhhc6', 'Vti1a', 'Cyp21a1', 'Srf', 'Ramac', 'Dnm1l', 'Crtac1', 'Gne', 'Gpcpd1', 'Tmem51', 'Cwf19l2', 'Jup', 'Zfp72', 'Prss50', 'Tjp2', 'Clcn4', 'Pfas', 'Rtn2', 'Tmem221', 'Abhd16a', 'Lsm10', 'Piezo1', 'Plekhg4', 'Padi4', 'Dpep3', 'Med16', 'Rsl1d1', 'Ankrd33', 'Mkrn2', 'Ap4e1', 'Zfp647', 'Fbxo4', 'B230219D22Rik', 'Ddx59', 'Gabpb2', 'Alox12', 'Gask1b', 'Rnf135', 'Mesp1', 'Nlrx1', 'Cpne2', '2210016L21Rik', 'Dync1i2', 'Ctnnb1', 'Cdkl3', 'Tpgs2', 'AW554918', 'Tfap4', 'Hnrnpc', 'Pak1ip1', 'Rnf8', 'Kif20b', 'Dyrk1a', 'Chd2', 'Plxnb2', 'Bmp1', 'Zfp809', 'Sfi1', 'Tor1aip2', 'Rpl13', 'Xrcc5', 'Tomt', 'Taf8', 'Tmem270', 'Pcca', 'Nup160', 'Cyp27b1', 'Nek5', 'Ccdc124', 'Macroh2a2', 'Supt20']
Aebp2	['Palb2', 'Dctn5', 'Vamp4', 'Rpl22', 'Exoc2', 'Snrpb2', 'Pomt1', 'Vps13d', 'Tmbim4', 'Cox19', 'Psmd3', 'Mettl25', 'Ccdc59', 'Gne', 'Sugp2', 'Armc6', 'Ptcd1', 'Cpsf4', 'Snx18', 'Psma1', 'Pdcd5', 'Txnl4a', 'Gins3', 'Ubr4', 'Rbm48', 'Pex1', 'Tex2', 'Tmem167b', 'Ambra1', 'Mlst8', 'Taok3', 'Brd3os', 'Ino80', 'Ercc2', 'Rbsn', 'Dctn6', 'Taf3', 'Rab35', 'Pet117', 'Kat14', 'Heatr5a', 'Xpo5', 'Polh', 'Kdm8', 'Sprtn', 'Exoc8', 'Nup50', 'Cstf1', 'Aurka', 'Hdgf', 'Rab3gap2', 'Eif2b3', 'Raf1', 'Vps28', 'Smarca5', 'Lrp12', 'Upf1', 'Dph1', 'U2surp', 'Tcea1', 'Mrps15', 'Ogfod3', 'Hexdc', 'Cct8', 'Crtc1', 'Mmadhc', 'Kras', 'Vps72', 'Hmgxb4', 'Znhit3', 'Hp1bp3', 'Sdf4', 'B3galt6', 'Rfx1', 'Psma2', 'Mrpl32', 'Fan1', 'Clcn4', 'Srrm1', 'Rev3l', 'Zbtb41', 'Zc3h14', 'Rasal2', 'Wrb', 'Gm2237', 'Dcp1b', 'Rad54l', 'Gm10499', 'Cog6', 'C2cd5', 'Alkbh5', 'Ints13', 'Fgfr1op2', 'Cdc34', 'Ehmt1', 'Rwdd1', 'Msh4', 'Herc4', 'Lsm5', 'Sumf2', 'Sdha', 'Ccdc127', 'Prkaca', 'Dync1li1', 'Yeats4', 'Gmcl1', 'Spg7', 'Rock1', 'Sppl2b', 'Lsm7', 'Epop', 'Pex14', 'Preb', 'Wiz', 'Sae1', 'Actn4', 'Denr', 'Nadk', 'Ttc37', 'Arsk', 'Rsrc1', 'Mtrr', 'Gm10406', 'Arrdc4', 'Rrs1', 'Ndufa5', 'Asb15', 'Tepsin', 'Ndufaf8', 'Urb2', 'Taf5l', 'Tmem116', 'Erp29', 'Mrs2', 'Mettl22', 'Ccser2', 'Sp2', 'Pex16', 'Yars', 'S100pbp', 'Cnot1', 'Ap3m2', 'Pus10', 'Pex13', 'Smarca4', 'Safb', 'Safb2', 'Ttbk2', 'Specc1l', 'Tmed4', '2610042L04Rik', 'Snrnp70', 'Fyco1', 'Ptk2', 'Ndrg3', 'Ccdc171', 'Sfi1', 'Nacc1', 'Mis12', 'Derl2', 'Tsga10', 'Tbc1d14', 'Stx12', 'Dux', 'Gm3752', 'Hipk2', '2310061I04Rik', 'Tmem94', 'Tmem134', 'Efnb2', 'Aip', 'Bbs2', 'Ube2c', 'Morc2a', 'Mmaa', 'Cherp', 'B230219D22Rik', 'Mrpl45', 'Clcc1', 'Atp6v0d1', 'Mpp7', 'Mtch2', 'Hsp90aa1', 'Pds5b', 'Zfp638', 'Rpl9', 'Lias', 'Mycbp', 'Usp10', 'Rab33b', 'Tm9sf2', 'Ranbp3', 'Sharpin', 'Maf1', 'Zbtb21', 'Banp', 'Tmco3', 'Recql', 'Golt1b', 'Dcun1d2', 'Pgd', 'Anp32a', 'Srsf1', 'Mbd3', 'Lamp1', 'Vdac3', 'Akap1', 'Fam222b', 'Klhdc10', 'Cisd1', 'Dpf2', 'Park7', 'Rapgef6', 'Kpna1', 'Atp5b', 'Phf12', 'Tubd1', 'Snap23', 'Rps6kb1', 'Cc2d1a', '4930432K21Rik', 'Btbd9', 'Mboat2', 'Hnrnpc', 'Mcph1', 'Alas1', 'Tram1l1', 'Man1b1', 'Tmem170b', 'Mink1', 'Tom1', 'Cep295', 'Gm13276', 'Pgap1', 'Ccdc93', 'Ptger3', 'Tnrc6b', 'Ung', 'Gm3500', 'Trank1', 'Thap12', 'Gm3448', 'Gm3417', '9030025P20Rik', 'Rad23b', 'Selenot', 'Zfp12', 'Get4', 'Arntl', 'Nfat5', 'Nlk', 'Gpr88', 'Qrich1', 'Fkbp8', 'Srm', 'Bhlhe23', 'Bcas2', 'Gm3264', 'Brap', 'Acad10', 'Atxn7l3b', 'Exog', 'Tmem106c', 'Gm8909', 'Gfod2', 'Gtf3a', 'Ube3c', 'Car7', 'Leng8', 'Acaa1a', 'Prdm4', 'Gm3667', 'Tmem106b', 'Pop7', 'Mypop', 'Nkx2-4', 'Cep170', 'Gm4969', 'Ppp2r5a', 'Bop1', 'Odc1', 'Fignl1', 'Zar1', 'Kcnk13', 'Wdr12', 'Puf60', 'Carf', 'Nipsnap2', 'Kctd13', 'Bean1', 'Sap18b', 'Sap18', 'Dazap1', 'Slc39a10', 'Map2k7', 'Cyp1b1', 'Lss', '3110040N11Rik', 'Csnk1a1', 'Exd1', 'Chp1', 'Rasef', 'Prelid3b', 'Cdc7', 'Map3k21', 'Irf2', 'Zfp664', 'Foxe3', 'Ccdc92', 'Gphn', 'Trim23', 'Trappc13', 'Shld3', 'Rrbp1', 'Npr1', 'Sowaha', 'Cgas', 'Stag3', 'Polr2b', 'Noa1', 'Gpc2', 'Pitpnb', 'Ipmk', 'Gtf3c1', 'D430042O09Rik', 'Naa50', 'Atp6v1a', 'Vapb', 'Nucb2', 'LOC100861615', 'Psmb2', 'Uso1', 'G3bp2', 'Ddhd2', 'Akap11', 'Shisa3', 'Cpne7', 'Kpnb1', 'G3bp1', 'Pcbp2', 'Adrb1', 'Uqcrc1', 'Traf2', 'Lsm14a', 'Fdft1', 'Exosc8', 'Alg5', 'N6amt1', 'Mbd1', 'Kifap3', 'Ska2', 'Prr11', 'Htra1', 'Arf3', 'Smarcc1', 'Osbp', 'Tlk2', 'Fbxo42', 'Sesn1', 'Cep57l1', 'Alg8', 'Dlgap2', 'Tmco1', 'Scamp5', 'Dynll1', 'Kmt2a', 'Rtn3', 'Rnf8', 'Ppp1cb', 'Cop1', 'Tpk1', 'Tmem163', 'Camsap2', 'Tarbp1', 'Mtmr7', 'Hoxd1', 'Shprh', 'Cfap97', 'Fkbp1a', 'Ube2cbp', 'Tdrd5', 'Dpy30', '1110032F04Rik', 'Elavl1', 'Trp73', 'Msra', 'Gpr176', 'Tmpo', 'Nwd2', 'Mfsd8', 'Grm6', 'Fam49b', 'Cnot8', '2810459M11Rik', 'Ick', 'Gm3435', 'Fbxo9', 'AU041133', 'Zc3h8', 'Zc3h18', 'Zdhhc15', 'Tmem170', 'Actr3', 'Pank2', 'Cnot3', 'Hspa2', 'Heatr5b', 'Gpatch11', 'Ibtk', '4921524J17Rik', 'Tnxb', 'Zfp961', 'Dtd2', 'Tmx3', 'Hoxd13', 'Ddx59', 'Ctps', 'Gbe1', 'Amer2', 'Zdhhc16', 'Exosc1', 'Clk4', 'BC049762', 'Snx4', 'Otulin', 'Prrx1', 'Fgf8', 'Tubg1', 'Retreg3', 'Disc1', 'Sgpp2', 'Rpl5', 'Nefm', 'Cdh8', 'Cc2d1b', 'Caln1', 'Ikzf3', 'Fbxl3', 'Coch', 'Kl', 'H2-Q9', 'H2-Q7', 'Slc39a3', 'Cdk5r2', 'Tomm20', 'Smyd3', 'Dyrk3', 'Hspa1b', 'Gjb2', 'Frzb', 'Trhde', 'Styxl1', 'Ndufa8', 'Morn5', 'Mdh2', 'Myrip', 'Dhrs13', 'Wipi2', 'Srp19', 'Rab20', 'Bmp6', 'Tdrd6', 'Hs3st2', 'Tox2', 'Ppp1r3d', 'Fam217b', 'Adra1d', 'Ccdc12', 'Nae1', 'H2ac19', 'H2ac18', 'Gm13290', 'Gm13289', 'Gm13285', 'Hspa12a', 'Gabbr2', 'Fam43b', 'Eno4', 'Slc7a2', 'Sgcz', 'Fam98a', 'Kcng3', 'Eif4a3', 'Chrm3', 'Zkscan2', 'Setd1a', 'Pithd1', 'Bag6', 'Nt5c2', 'H2-K1', 'Dchs1', 'Ndufa6', 'Plxnd1', 'Paip2b', 'Kbtbd11', 'Rbm46', 'Itpka', 'Ap1g1', 'Wwox', 'Sgf29', 'Nr5a1', 'Ap1m1', 'Smg9', 'Rassf10', 'Nptx1', 'Cdk12', 'Pou4f3', 'Ptf1a', 'Nr2f1', 'Macrod2', 'Mga', 'Ddx39', 'Zfp959', 'Rnf150', 'Cdc5l', 'Rbm39', 'Vps36', 'Uggt2', 'Sowahb', 'Rassf5', 'March8', 'Lig4', 'Lactb', 'Gsg1l', 'Cep85', 'Ccdc155', 'Slc35f3', 'Rad54b', 'Ints3', 'Btbd10', 'Dgcr8', 'Cyth1', 'Atad3a', 'Anapc10', 'Abce1', 'Ccnj', 'Zfp119b', 'Pgrmc2', 'Nek4', 'Emilin3', 'Sgo1', 'Kcnk12', 'Hipk1', 'Fam227b', 'Dtwd1', 'Tomm7', 'Rpl26', 'Ercc6l2', 'Arid4a', 'Smpd3', 'Nrg1', 'Gm3636', 'Crybg1', 'Atp5e', 'Fam174b', 'Dclre1b', 'Ap4b1', 'Zfyve16', 'Zfp866', 'Rsrp1', 'Onecut1', 'Tfg', 'Csnk1d', 'Rpl17', 'Foxl1', 'Hs3st3a1', 'Gatad2a', 'Tia1', 'Prss12', 'Plcb1', 'Foxc2', 'Tent4a', 'Ripk4', 'Pla2g15', 'Gm13889', 'Ddx4', 'Znrf4', 'Rabep1', 'Flt1', 'Hfm1', 'Tcf25', 'Prok2', 'Hspa1a', 'Eif5', 'Clpx', 'Slc39a8', 'Lsm1', 'Bag4', 'Herc2', 'Fgf12', 'Ttc14', 'Micu2', 'Gpr25', 'Ankrd63', 'Gata5', 'Bcas3', 'Npr3', 'Ddx55', 'Cdk2ap2', 'Rab4a', 'Mbtps1', 'Kcnd3', 'Gm3173', 'Ghsr', '2310033P09Rik', 'Neurod2', 'H3c15', 'H3c14', 'Galnt3', 'Fut8', 'Zfp433', 'Uhmk1', 'Trim44', 'Sdcbp', 'Gm32687', 'Ryr3', 'Pafah1b1', 'Dsp', 'Nanp', 'Dhx37', 'Grb2', 'Zfp639', 'Tmem120b', 'Fxr2', 'Dlgap1', 'Psmd5', 'Pcif1', 'Nup107', 'Pls1', 'Oprd1', 'Mms22l', 'Bmp3', 'Tdrkh', 'Rab40c', 'Psmg4', 'Synm', 'Lrrfip1', 'Esco1', 'Ankrd26', 'Zfp119a', 'Ptdss1', 'Mterf3', 'Surf6', 'Jarid2', 'Sdk2', 'Polr2j', 'Haspin', 'Poc1b', 'Kif1b', 'Galnt4', 'Npnt', 'Klhl22', 'Crhr1', 'Atp5g2', 'Ncdn', 'Jph3', 'Egr4', 'Drg1', 'AU040320', 'Ttc41', 'Ppp1r8', 'Pou4f2', 'Ltk', 'Hsp90b1', 'Gm13272', 'Znrf1', 'Smap2', 'Sema5b', 'Pusl1', 'Plxnc1', 'Lrrc38', 'Eps15l1', 'Acap3', 'Prmt2', 'Pkp1', 'Maf', 'Gm266', 'Dbndd2', '6430571L13Rik', '0610009B22Rik', 'U2af1', 'Osbpl9', 'Rpusd4', 'Rbfox3', 'Fam118b', 'Avpr1a', 'Pxdc1', 'Igfbp5', 'Adamts18', 'Sorcs3', 'Snap91', 'Ilf2', 'Ube2ql1', 'Slc24a4', 'Pde3b', 'Fstl4', 'Foxd1', 'Zcwpw1', 'Rad21', 'P4ha1', 'Mepce', 'Kin', 'Gbx1', 'Cox6a1', 'Cacybp', 'Atp5c1', 'Yipf6', 'Nefl', 'Mak16', 'Gpr19', 'Cdv3', 'Ankrd54', 'Sf3a2', 'Pou3f1', 'Plekhj1', 'Disp3']
Aff3	['Usp31', 'Txndc15', 'Lemd2', 'Spink10', 'Fbxo38', 'Cdk5rap2', 'Slmap', 'Hacd2', 'Ccdc124', 'Cradd', 'Slx4ip', 'Mkks', 'Prkcsh', 'Ccdc151', 'Tpgs1', 'Rcc1l', 'Psmb5', 'Tor1a', 'Knstrn', 'Tomm40l', 'Apoa2', 'Uqcrh', 'Lrrc41', 'Creld2', 'Alg12', 'Morf4l1', 'Cxxc1', 'A430005L14Rik', 'N4bp1', 'Exosc2', 'Prpsap1', 'Mcmbp', 'Kat7', 'Zfp37', 'Usf1', 'Khdc4', 'Ech1', 'Ndrg3', 'Rrm1', 'Prmt5', 'Gtf3c6', 'Zfp524', 'Fiz1', 'Vps35l', 'Ilf2', 'Supt5', 'Yy1', 'Tbc1d17', 'Akt1s1', 'Inpp5f', 'Ctnna3', 'Sspn', 'Cnnm2', 'Tbl1xr1', 'Prepl', 'Camkmt', 'Ndufb5', 'Mrpl47', 'Rab11a', 'Mcts2', 'Dedd', 'Knl1', 'Ncdn', 'AU040320', 'Nap1l5', 'Mettl3', '0610009B22Rik', 'Wbp4', 'Elf1', 'Rab7', 'Nnat', 'Tmem101', 'Map1lc3b', 'Prr14', 'Ube2i', 'Oxa1l', 'Hnrnpa2b1', 'Sacm1l', 'Oga', 'Ccdc167', 'Fbxo31', 'Pnpla6', 'Agbl5', 'Gpr137', 'Bad', 'Psmb3', 'Fyco1', 'Fmc1', 'Napepld', 'Zdbf2', 'Wdr34', 'Polg', 'Nup153', 'Cep350', 'Zfp672', 'Sh3bp5l', 'Smarcc2', 'Trim80', 'Cd38', 'Pou5f1', 'Zfp882', 'Fkbp6', 'Oxsr1', 'Cln3', 'Poglut1', 'Rps29', 'Zbtb11', 'Birc6', 'Psmd7', 'Caml', 'Ndufs2', 'Mettl26', 'Lta4h', 'Pnisr', 'Map2k5', 'Catsperg1', 'Actr8', 'Imp4', 'Ccdc115', 'Phb2', 'Emg1', 'Cuedc2', 'Cbx3', 'Plekhg2', 'B4gat1', 'Slc39a10', 'Ddx17', 'Dars2', 'Tia1', 'Ptpa', 'Crat', 'Bloc1s5', 'Foxh1', '2610301B20Rik', 'Wiz', 'Banp', 'Zc3h11a', 'Zbed6', 'H4c8', 'Exoc7', 'Mynn', 'Dagla', 'Eif4g2', 'Polr3e', 'Ndufs7', 'Daxx', 'Chtop', 'Sgce', 'Peg10', 'Slc39a9', 'Erh', 'Dpagt1', 'Nelfa', 'Kat6a', 'Tmem131', 'Lcorl', 'Sdf4', 'B3galt6', 'Ccdc174', 'Shld1', 'Tmed10', 'Ptma', 'Pcif1', 'Syt3', 'Rnase4', 'Ang', '9430015G10Rik', 'Pkm', 'Zscan22', 'Scyl3', 'Oasl1', 'Sphk2', 'Amdhd2', 'Acp6', 'Ppp6r3', 'Plagl1', 'Txnl4b', 'Dhx38', 'Nedd8', 'Gmpr2', 'Ccdc107', 'Cpeb4', 'Zc3h6', 'Nr3c1', 'St3gal2', 'Nfyc', 'Aldh18a1', 'Ufc1', 'Mfsd13a', 'Cldn6', 'Naa60', 'Aars2', 'Ptbp1', 'Sept7']
Aff4	['Dusp2', 'Il2', 'Usp19', 'Ifng', 'Ccl1', 'Phlda1', 'Spata2', 'Rnf114', 'Hspa5', 'Slc39a13', 'Odc1']
Ahcy	['Sspn', 'Clcn4']
Ahr	['Cyp1b1', 'Rtkn', 'Maff', 'Cyp1a1']
Aicda	['Sspn']
