Antigen,Cell type class in Colocalization,Recorded (+) or not (-) in Target Genes,Genome assembly,Target Genes (TSS }1k),Target Genes (TSS }5k),Target Genes (TSS }10k),Colocalization (TSV),Colocalization (GML)
aha-1,Larvae,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/aha-1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/aha-1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/aha-1.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/aha-1.Larvae.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml
alr-1,Larvae,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/alr-1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/alr-1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/alr-1.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/alr-1.Larvae.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml
aly-2,Larvae,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/aly-2.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/aly-2.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/aly-2.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/aly-2.Larvae.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml
ama-1,"Adult,Embryo,Larvae",+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ama-1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ama-1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ama-1.10.tsv,"http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/ama-1.Adult.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/ama-1.Embryo.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/ama-1.Larvae.tsv","http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Adult.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml"
ash-2,"Adult,Embryo",+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ash-2.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ash-2.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ash-2.10.tsv,"http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/ash-2.Adult.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/ash-2.Embryo.tsv","http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Adult.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml"
atfs-1,Adult,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/atfs-1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/atfs-1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/atfs-1.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/atfs-1.Adult.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Adult.gml
blmp-1,"Embryo,Larvae",+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/blmp-1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/blmp-1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/blmp-1.10.tsv,"http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/blmp-1.Embryo.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/blmp-1.Larvae.tsv","http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml"
capg-1,Embryo,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/capg-1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/capg-1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/capg-1.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/capg-1.Embryo.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml
capg-2,Embryo,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/capg-2.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/capg-2.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/capg-2.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/capg-2.Embryo.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml
cbp-1,Embryo,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/cbp-1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/cbp-1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/cbp-1.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/cbp-1.Embryo.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml
cec-3,Adult,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/cec-3.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/cec-3.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/cec-3.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/cec-3.Adult.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Adult.gml
ceh-16,Larvae,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ceh-16.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ceh-16.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ceh-16.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/ceh-16.Larvae.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml
ceh-28,Larvae,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ceh-28.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ceh-28.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ceh-28.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/ceh-28.Larvae.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml
ceh-30,Embryo,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ceh-30.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ceh-30.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ceh-30.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/ceh-30.Embryo.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml
ceh-39,Embryo,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ceh-39.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ceh-39.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ceh-39.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/ceh-39.Embryo.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml
ceh-82,Larvae,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ceh-82.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ceh-82.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ceh-82.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/ceh-82.Larvae.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml
ces-1,"Embryo,Larvae",+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ces-1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ces-1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ces-1.10.tsv,"http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/ces-1.Embryo.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/ces-1.Larvae.tsv","http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml"
chd-3,Adult,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/chd-3.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/chd-3.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/chd-3.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/chd-3.Adult.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Adult.gml
coh-1,Adult,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/coh-1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/coh-1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/coh-1.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/coh-1.Adult.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Adult.gml
coh-3,Adult,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/coh-3.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/coh-3.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/coh-3.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/coh-3.Adult.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Adult.gml
daf-12,Larvae,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/daf-12.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/daf-12.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/daf-12.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/daf-12.Larvae.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml
daf-16,Adult,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/daf-16.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/daf-16.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/daf-16.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/daf-16.Adult.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Adult.gml
dpl-1,"Adult,Embryo,Larvae",+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/dpl-1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/dpl-1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/dpl-1.10.tsv,"http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/dpl-1.Adult.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/dpl-1.Embryo.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/dpl-1.Larvae.tsv","http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Adult.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml"
dpy-26,Embryo,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/dpy-26.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/dpy-26.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/dpy-26.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/dpy-26.Embryo.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml
dpy-27,"Adult,Embryo,Larvae",+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/dpy-27.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/dpy-27.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/dpy-27.10.tsv,"http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/dpy-27.Adult.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/dpy-27.Embryo.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/dpy-27.Larvae.tsv","http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Adult.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml"
dpy-28,Embryo,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/dpy-28.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/dpy-28.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/dpy-28.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/dpy-28.Embryo.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml
dpy-30,Embryo,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/dpy-30.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/dpy-30.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/dpy-30.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/dpy-30.Embryo.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml
dve-1,"Embryo,Larvae",+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/dve-1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/dve-1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/dve-1.10.tsv,"http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/dve-1.Embryo.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/dve-1.Larvae.tsv","http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml"
efl-1,"Adult,Embryo,Larvae",+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/efl-1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/efl-1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/efl-1.10.tsv,"http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/efl-1.Adult.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/efl-1.Embryo.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/efl-1.Larvae.tsv","http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Adult.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml"
egl-27,Larvae,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/egl-27.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/egl-27.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/egl-27.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/egl-27.Larvae.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml
egl-5,Larvae,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/egl-5.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/egl-5.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/egl-5.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/egl-5.Larvae.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml
elt-1,Larvae,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/elt-1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/elt-1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/elt-1.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/elt-1.Larvae.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml
elt-2,Larvae,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/elt-2.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/elt-2.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/elt-2.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/elt-2.Larvae.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml
elt-3,"Embryo,Larvae",+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/elt-3.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/elt-3.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/elt-3.10.tsv,"http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/elt-3.Embryo.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/elt-3.Larvae.tsv","http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml"
eor-1,Larvae,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/eor-1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/eor-1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/eor-1.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/eor-1.Larvae.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml
epc-1,Larvae,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/epc-1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/epc-1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/epc-1.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/epc-1.Larvae.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml
fkh-10,"Embryo,Larvae",+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/fkh-10.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/fkh-10.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/fkh-10.10.tsv,"http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/fkh-10.Embryo.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/fkh-10.Larvae.tsv","http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml"
fkh-2,Larvae,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/fkh-2.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/fkh-2.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/fkh-2.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/fkh-2.Larvae.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml
fos-1,Larvae,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/fos-1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/fos-1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/fos-1.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/fos-1.Larvae.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml
gmeb-1,Larvae,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/gmeb-1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/gmeb-1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/gmeb-1.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/gmeb-1.Larvae.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml
ham-1,Larvae,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ham-1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ham-1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ham-1.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/ham-1.Larvae.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml
hcp-4,Embryo,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/hcp-4.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/hcp-4.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/hcp-4.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/hcp-4.Embryo.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml
hcp-6,Embryo,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/hcp-6.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/hcp-6.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/hcp-6.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/hcp-6.Embryo.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml
hda-1,Embryo,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/hda-1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/hda-1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/hda-1.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/hda-1.Embryo.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml
him-3,Adult,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/him-3.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/him-3.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/him-3.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/him-3.Adult.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Adult.gml
him-8,Adult,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/him-8.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/him-8.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/him-8.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/him-8.Adult.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Adult.gml
hlh-1,Embryo,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/hlh-1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/hlh-1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/hlh-1.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/hlh-1.Embryo.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml
hlh-30,"Embryo,Larvae",+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/hlh-30.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/hlh-30.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/hlh-30.10.tsv,"http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/hlh-30.Embryo.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/hlh-30.Larvae.tsv","http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml"
hpl-2,"Adult,Larvae",+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/hpl-2.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/hpl-2.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/hpl-2.10.tsv,"http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/hpl-2.Adult.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/hpl-2.Larvae.tsv","http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Adult.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml"
htp-3,Adult,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/htp-3.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/htp-3.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/htp-3.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/htp-3.Adult.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Adult.gml
imb-1,Embryo,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/imb-1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/imb-1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/imb-1.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/imb-1.Embryo.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml
jun-1,Larvae,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/jun-1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/jun-1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/jun-1.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/jun-1.Larvae.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml
