Antigen,Cell type class in Colocalization,Recorded (+) or not (-) in Target Genes,Genome assembly,Target Genes (TSS }1k),Target Genes (TSS }5k),Target Genes (TSS }10k),Colocalization (TSV),Colocalization (GML)
EN1,Breast,+,hg19,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/EN1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/EN1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/EN1.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/EN1.Breast.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Breast.gml
EOMES,Pluripotent stem cell,+,hg19,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/EOMES.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/EOMES.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/EOMES.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/EOMES.Pluripotent_stem_cell.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Pluripotent_stem_cell.gml
EP300,"Blood,Bone,Breast,Cardiovascular,Digestive tract,Epidermis,Kidney,Liver,Lung,Muscle,Neural,Others,Pluripotent stem cell,Prostate,Uterus",+,hg19,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/EP300.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/EP300.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/EP300.10.tsv,"http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/EP300.Blood.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/EP300.Bone.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/EP300.Breast.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/EP300.Cardiovascular.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/EP300.Digestive_tract.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/EP300.Epidermis.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/EP300.Kidney.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/EP300.Liver.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/EP300.Lung.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/EP300.Muscle.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/EP300.Neural.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/EP300.Others.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/EP300.Pluripotent_stem_cell.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/EP300.Prostate.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/EP300.Uterus.tsv","http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Blood.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Bone.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Breast.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Cardiovascular.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Digestive_tract.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Epidermis.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Kidney.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Liver.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Lung.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Muscle.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Neural.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Others.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Pluripotent_stem_cell.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Prostate.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Uterus.gml"
EP400,"Bone,Epidermis",+,hg19,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/EP400.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/EP400.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/EP400.10.tsv,"http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/EP400.Bone.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/EP400.Epidermis.tsv","http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Bone.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Epidermis.gml"
EPAS1,"Blood,Cardiovascular,Digestive tract,Epidermis,Kidney,Liver,Prostate",+,hg19,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/EPAS1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/EPAS1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/EPAS1.10.tsv,"http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/EPAS1.Blood.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/EPAS1.Cardiovascular.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/EPAS1.Digestive_tract.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/EPAS1.Epidermis.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/EPAS1.Kidney.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/EPAS1.Liver.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/EPAS1.Prostate.tsv","http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Blood.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Cardiovascular.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Digestive_tract.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Epidermis.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Kidney.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Liver.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Prostate.gml"
EPCAM,Uterus,+,hg19,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/EPCAM.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/EPCAM.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/EPCAM.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/EPCAM.Uterus.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Uterus.gml
EPOP,Pluripotent stem cell,+,hg19,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/EPOP.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/EPOP.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/EPOP.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/EPOP.Pluripotent_stem_cell.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Pluripotent_stem_cell.gml
ERCC2,Bone,+,hg19,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/ERCC2.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/ERCC2.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/ERCC2.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/ERCC2.Bone.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Bone.gml
ERCC3,Bone,+,hg19,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/ERCC3.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/ERCC3.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/ERCC3.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/ERCC3.Bone.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Bone.gml
ERCC6,"Epidermis,Others",+,hg19,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/ERCC6.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/ERCC6.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/ERCC6.10.tsv,"http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/ERCC6.Epidermis.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/ERCC6.Others.tsv","http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Epidermis.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Others.gml"
ERCC8,Epidermis,+,hg19,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/ERCC8.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/ERCC8.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/ERCC8.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/ERCC8.Epidermis.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Epidermis.gml
ERG,"Blood,Breast,Cardiovascular,Prostate",+,hg19,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/ERG.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/ERG.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/ERG.10.tsv,"http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/ERG.Blood.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/ERG.Breast.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/ERG.Cardiovascular.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/ERG.Prostate.tsv","http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Blood.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Breast.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Cardiovascular.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Prostate.gml"
ESR1,"Bone,Breast,Gonad,Others,Prostate,Uterus",+,hg19,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/ESR1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/ESR1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/ESR1.10.tsv,"http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/ESR1.Bone.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/ESR1.Breast.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/ESR1.Gonad.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/ESR1.Others.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/ESR1.Prostate.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/ESR1.Uterus.tsv","http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Bone.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Breast.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Gonad.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Others.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Prostate.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Uterus.gml"
ESR2,Bone,+,hg19,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/ESR2.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/ESR2.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/target/ESR2.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/ESR2.Bone.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/hg19/colo/Bone.gml
