Antigen	Genes
Ar	['Ndfip1', 'Wfdc6a', 'Spint3', 'Tmem150c', 'Bcl2l15', 'Ackr1', 'Arhgap8', 'Rnase12', 'Rnase11', 'Nat2', 'Nat1', 'Slc14a2', 'Ugt2a1', 'Prnd', 'Kdm7a', 'Napa', 'Galnt10', 'Arhgap10', 'Morc1', 'Plin5', 'Gdf2', 'Sesn1', 'Plin4', 'Rcn1', 'Ptpn22', 'Pnrc2', 'Cdkn1a', 'Olfr523', 'Ptgds', 'Ttpal', 'Sestd1', 'Hhat', 'Chrdl2', 'Cldn2', 'Ripply1', 'Npvf', 'Ccl17', 'Glb1l2', 'Polr3d', 'Piwil2', 'Ubqln1', 'Plekha3', 'Fkbp7', 'Nsdhl', 'Cetn2', 'Sult1d1', 'Chil3', 'Comtd1', 'A430057M04Rik', 'Gng7', 'Slc6a5', 'Wbp1l', 'Mlh3', 'Prdm4', 'Efcab2', 'Nup93', 'Noct', 'Kcnk1', 'Ift140', 'Cramp1l', 'Arrdc2', 'Rad21', 'Pdxdc1', 'Mpv17l', 'Clec9a', 'Rabggta', 'Adh6b', 'Kbtbd8', 'Ubiad1', 'Cldn34d', 'Greb1', 'Slc25a13', 'Rab5if', 'Ggnbp1', 'Bak1', 'Abca6', 'Midn', 'Cbarp', 'Atp5d', 'Suox', 'Nf2', 'Hif3a', 'Gkap1', 'Lekr1', 'Atp11a', 'Sgk3', 'Tmem125', 'Tbl1xr1', 'Defb43', 'Fam133b', 'Cradd', 'Sra1', 'Slc35a4', 'Apbb3', 'Lrg1', 'Artn', 'Cdc37l1', 'Lpin1', 'Srrt', 'Ufsp1']
Arid1a	['Cldn34d', 'Coil', 'Elobl', 'Zfp979', 'Zfp600', 'Greb1', 'Fbxo22', 'Hexb', 'Nfat5', 'H2al2a', 'Klf2', 'F13b', 'Aida', 'Brox', 'Ankrd6', 'Tesk2', 'Txndc11', 'Rnf138', 'Fam98a', 'Fbxw4', 'Zfp980', 'Sap30', 'Kdm4c', 'Kat2b', 'Pipox', 'Btn2a2', 'Id4', 'Olfr1274', 'Nufip2', 'Kpna1', 'Gpa33', 'Dusp27', 'C130073F10Rik', 'Slco4c1', 'Natd1', 'Rex2', 'Mup4', 'Nkx2-6']
Arid3a	['Smim17', 'Npas4', 'Cacng2', 'Nkx1-1', 'Swsap1', 'Zfp994', 'Glra1', 'Lin28a', 'Mc3r', 'Xkr7', 'Celsr3', 'Iqsec3', 'Ppfibp2', 'Scrt1', 'Rpl38', 'Ttyh2', 'Snap25', 'Crhr2', 'Rbm25', 'Cd300ld3', 'Cd300e', 'Ogt', 'Kpna1', 'Barhl1', 'Cby1', 'Fam227a', 'Txndc11', 'Gprin1', 'Sh3gl1', 'Chaf1a', 'Vstm2l', 'Cacng3', 'Uqcrc1', 'Tas1r3', 'Ints11', 'Cptp', 'Dlgap3', 'Tmem98', 'Cyb5r4', 'Ripply2', 'Naip2', 'Cldn34d', 'Atp5h', 'Kctd2', 'Mrpl58', 'Il31ra', 'Ruvbl2', 'Cadm3', 'Gys1', 'Endov', 'Golga7b', 'Lypd11', 'Mast1', 'Rtbdn', 'Zfp317', 'Grhl3', 'Gm11634', 'LOC666331', 'Polr2e', 'Olfr748', 'Lrrc61', 'Fbxo21', '9130023H24Rik', 'Armc5', 'Cwc22', 'Uspl1', 'H2-L', 'LOC547349', 'H2-D1', 'Snrpc', 'Ppp6c', 'Rdm1', 'Dcp1a', 'Ormdl3', 'Kcne2', 'Smim11', 'Iqck', 'Knop1', 'Twistnb', 'Rmdn3', 'Gm3417', 'Gm3448', 'Sspn', 'Med27']
Arid4b	['Txndc11', 'Cldn34d', 'Tmem125', 'Brox', 'Aida']
Arntl	['Cldn34d', 'Brox', 'Aida', 'Tmem125', 'Bhlhe41', 'Nr1d1', 'Nr1d2', 'Tef', 'Tulp4', '1810013L24Rik', 'Rmnd1', 'Armt1', 'E030030I06Rik', 'Txndc11', 'Ciart', 'BC028528', 'Vamp2', 'Per1', 'Cry2', 'Per2', 'March8', 'Ap5s1', 'Atxn3', 'Avpi1', 'Cry1', 'Eif5a2', 'Gmfb', 'Cgrrf1', 'Mthfd1l', 'Ptprs', 'Ankrd12', 'Tspan4', 'Polr2l', 'Cd151', 'Fam25c', 'Tbcel', 'Lamp1', 'Mfsd1', 'Rorc', 'C2cd4d', 'Per3', 'Slc27a2', 'Gnpnat1', 'Fbxl22', 'AW549877', 'Klf11', 'Zfp292', 'Aven', 'Mapk6', 'Hmgn2', 'Gpi1', 'Klf9', 'Serinc4', 'Serf2', 'Hypk', 'Ell3', 'Fam76a', 'Zzz3', 'Shkbp1', 'Bnip3', 'Hif1a', 'Bhlhe40', 'Atp6v0c', 'Amdhd2', 'Ube2q1', 'Chrnb2', 'Fabp3', 'Dbp', 'Car11', 'Hlf', 'Kdm6b', 'Slc8b1', 'Plbd2', 'Sphk2', 'Ddx50', 'Pcbp1', 'Vps26a', 'Ncl', 'Klf16', 'Nup50', 'Phf23', 'Gabarap', 'Dvl2', 'Zcwpw1', 'Ppp1r35', 'Mepce', 'Foxo3', 'Mcidas', 'Ccno', 'Jade1', 'Tet3', 'Prr3', 'Abcf1', 'Crebrf', 'Eps15l1', 'Fbxo30', 'Rsad1', 'Tomm20', 'Sertad1', 'Ccdc88c']
Ascl1	['Zfp69', 'Exosc9', 'Lmod3', 'Efcab5', 'Ube2l3', 'Rimbp3', 'Insm1', 'Arpp21', 'Stk33', 'Tecr', 'Hpca', 'Tmem54', 'Ntsr2', 'Timm50', 'Dll3', 'Ptar1', 'Pomt2', 'Gstz1', 'Fam83h', 'Iqank1', 'Ampd3', 'Repin1', 'Gm5111', 'Znrf3', 'Wscd2', 'Pdzrn4', 'Hipk2', 'Ero1l', 'Psmc6', 'Wdr62', 'Clip3', 'Psmg2', 'Cep76', 'Ppfibp2', 'Rrp7a', 'Lzts1', 'Wfdc11', 'Kctd14', 'Traf4', 'Tsnaxip1', 'Ranbp10', 'Hdac7', 'Tespa1', 'Dll1', 'Hes6', 'Krtap13-1', 'Tmc3', 'Hook2', 'Myt1', 'Rap1gap', 'Prdm10', 'Smug1', 'Plekhb1', 'Krt83', 'Tctex1d4', 'Plk3', 'Mthfd1l', 'Adcyap1r1', 'Tmem255b', 'Pnmal2', 'Nt5c2', 'Ina', 'Casp14', 'Ndc1', 'Tkt', 'Cacnb2', 'Kcnab2', 'Prkn', 'Pacrg', 'A930009A15Rik', 'Cdc25b', 'Ccdc126', 'Dok7', 'Gpr142', 'Btbd17', 'Cd276', 'Cdk2ap1', 'Coro2b', 'Trim2', 'Tmbim1', 'Nudt18', 'Tcf12', 'Thbs2', 'Fam110a', 'Rab17', 'Hilpda', 'Zfp853', 'Gnaq', 'Smim38', 'Kank2', 'Gm9508', 'Gm19402', 'Tspear', 'Invs', 'Erp44', 'Ube2g2', 'Wdr95', 'Olfr1331', 'Galr3', 'Crip2']
Ash1l	['Cldn34d']
Ash2l	['Stat3', 'Cldn34d', 'Nlrp10', 'Eif3f', 'Atp2b4', 'Rps26', 'Ano8', 'Hps5', 'Gtf2h1', 'Lsg1', 'Adamts6', 'Pcif1', 'Ndufb3', 'Fam126b', 'Fbxo21', 'Sfpq', 'Rnf19b', 'Zfp869', 'Nub1', 'Fabp2', 'Cfap46', 'Timm9', '2700049A03Rik', 'Cyp7b1', 'Mrps31', 'Scml4', 'Zbtb20', 'Nfyc', 'Ranbp2', 'Lancl2', 'Unk', 'H3f3b', 'Znhit3', 'Tcf3', 'Rag2', 'B230118H07Rik', 'Psmd1', 'H4c6', 'H1f3', 'H3c6', 'H2bc8', 'H2ac8', 'Arhgap32', 'H1f6', 'H4c3', 'Gast', 'Ppp2r2a', 'Zfp933', 'Ssu72', 'Xrcc5', 'Ap1g1', 'Ripk2', 'Tardbp', 'Ttc30b', 'Brox', 'Aida', 'Haus1', 'Atp5a1', 'Hnrnpm', 'Rpn2', 'Mroh8', 'Isg15', 'Agrn', 'Zfp866', 'Srsf6', 'Fra10ac1', 'Cfap298', 'Anapc10', 'Abce1', 'Fus', 'Tnrc6a', 'Eif4h', 'Klhl24', 'Supt7l', 'Slc4a1ap', 'H4c11', 'Slc35e2', 'Samd9l', 'Abca1', 'Tssk2', 'Tssk1', 'Dgcr2', 'Rab14', 'Raver1', 'E030030I06Rik', 'Ube2j2', 'Snx15', 'Sac3d1', 'Ttc39d', 'Kidins220', 'Plgrkt', 'Cd274', 'Hnrnpa0', 'Wrn', 'Purg', 'Olfr972', 'Oaz1', 'H3c7', 'H2bc9', 'H3c8']
Asxl1	['Ino80', 'Epc1', 'Nfyc', 'Efcab2', 'Hnrnpm', 'Zranb2', 'Zfp869', 'Cwc22', 'Txndc11', 'Ap1g1', 'Tia1', 'Pcyox1', 'Pskh1', 'Nrn1l', 'Taf9', 'Rad17', 'Ak6', 'Pcif1', 'Klhl24', 'Kmt5b', 'Wbp11', 'BC049715', 'Smco3', 'Cnbp', 'Cldn34d', 'Slc35b1', 'Gabpb1', 'Gbe1', 'Ube2l3', 'Rimbp3', 'Ythdf3', 'Gigyf2', 'Ddx17', 'Arrdc3', 'Birc3', 'S100a1', 'S100a13', 'Chtop', 'Smim10l1', 'Gosr1', 'Sdhaf2', 'Cpsf7', 'Ppp2r2a', 'Pcm1', 'Atrx', 'Raf1', 'Vcp', 'Fancg', 'Anapc10', 'Abce1', 'Rbm39', 'Stam', 'Zc3h6', 'Trim39', 'AW549877', 'Hexim2', 'Zfp866', 'Rpl21', 'Zfp335', 'Tax1bp1', 'Spag6', 'Ywhae', 'Atp6v1g1', 'Zfp507', 'Eprs', 'Nemf', 'E4f1', 'Zfx', 'Pcbp1', 'Iws1', 'Map3k2', 'Pnisr', 'Zbtb21', 'Cfap300', 'Psmg2', 'Cep76', 'Nr4a2', 'Celf2', 'Brox', 'Aida', 'Dtnbp1', 'Btg3', 'Zfp1', 'Sit1', 'Ccdc107', 'Aimp1', 'Tbck', 'Rptor', 'Srsf5', 'Sf3b1', 'Nfkb2', 'Mettl4', 'Rps29', 'Lrr1', 'Sspn', 'Srsf6', 'Napepld', 'Kpna1', 'Tardbp', 'Elk4']
Atf2	['Tas2r143', 'Tas2r135', 'Creb5', 'Mrpl16', 'Shisa4', 'Cic', 'Rpl26', 'Kctd5', 'Znrd1as', 'Znrd1', 'Rnf39', 'Ppp1r11', 'Dusp16', 'Shcbp1', 'Epgn', 'Jun', 'Rab30', 'Znrf4', 'Actr1b', '4933424G06Rik', 'Mrpl48', 'Rad23a', 'Gadd45gip1', 'Calr', 'Ppp2r5b', 'Gpha2', 'Atg2a', 'Trip6', 'Srrt', 'Raf1', 'Dhrs7b', 'Gng7', 'Crebzf', 'Jund', 'Iqcn', 'Cwc22', 'Elmsan1', 'Lamc2', 'Clcn4', 'Rhbdf2', 'Txnl4b', 'Stk38l', 'Dhx38', 'Clcn3', 'Ube2h', 'Ubn2', '1700056E22Rik', 'Dusp10', 'Slc25a25', 'Rpp38', 'Acbd7', 'Zfp869', 'Mri1', 'D8Ertd738e', 'Greb1', 'Naif1', 'Postn', 'Xpnpep1', 'Braf', 'Pdcl3', 'Rbm28']
