Antigen	Genes
Foxa3	['Cldn34d', 'Rps29', 'Lrr1', 'Nemf', 'Raph1', 'Brox', 'Aida']
Foxf1	['Greb1', 'Fam162b', 'Saa4', 'Saa1', 'Tacr2', 'Ralgds', 'Gas7', 'Lrig1', 'Prkn', 'Pacrg', 'Mtmr14', 'Mtss1', 'Tmem202', 'Wfikkn1', 'Cldn34d', 'Smgc', 'Arhgap23', 'Nr4a1', 'Atg101', 'Cmss1', 'Tinagl1', 'Pcbp3', 'Mical2', 'Gm906', 'Zap70', 'St3gal1', 'Odf4', 'Nkx2-6', 'Uxs1', 'Frg1', '6430548M08Rik', 'Prr18', 'Spink13', 'Pcmtd2', 'Eng', 'Ak1', 'Fam131c', 'Zfp229', 'Myl4', 'Herpud2', 'Gm8765', 'Tmem167b', 'Taf13', 'Cd81', 'Gprc6a', 'Tssc4', 'Foxf2', 'Nfatc1', 'Foxl1', 'Aftph', 'Cpne8', 'Tspan7', 'Pank2', 'Agap1', 'Zbtb4', 'Slc35g3', 'Polr2a', 'Eif4h', 'Enho']
Foxg1	['Astn2', 'Ebf1', 'Rcan3', 'Nav2', 'Dpysl4', 'Cdkn3', 'Erlec1', 'Asb3', 'Nyap1', 'Tchp', 'Gltp', 'Plekha7', 'Stat5a', 'Fam222a', 'Brox', 'Aida', 'Prlhr', 'Nkx2-2', 'Greb1', 'Ncald', 'Asic1', 'Lrrc36', 'Kctd19', 'Tfap4', 'Gpr142', 'Btbd17', 'Txnip', 'Stk40', 'Lsm10', 'Rnd2', 'Kcnip4', 'Nkx2-6', 'Runx1t1', '6430548M08Rik', 'Nfix']
Foxh1	['Txndc11', 'Xcr1', 'Fyco1', 'Slc39a3', 'Shc1', 'Lenep', 'Flad1', 'Cks1b', 'Srbd1', 'Mmachc', 'Ccdc163', '9430015G10Rik', 'Slc35b4', 'Josd2', 'Aspdh', 'Snx12', 'Evi5l', 'Lefty1', 'Wdr77', 'Atp5pb', 'Tepsin', 'Ndufaf8', 'Calcoco1', 'Ap2s1', 'Abhd2', 'Spc25', 'G6pc2', 'Kmt2a', 'Rab5b', 'Pmel', 'Cdk2', 'Phb', 'Ercc6l2', 'Ddx23', 'Rab5c', 'Denr', 'Phf12', 'Pex14', 'Zfp317', 'Baz2a', 'Atp5b', 'Nudt13', 'Mad2l1bp', 'Gtpbp2', 'S1pr4', 'Ncln', 'LOC102640673', 'Dync1h1', 'G3bp1', 'Atox1', 'Nop14', 'Grk4', 'Nlk', 'Nudt2', 'Kif24', 'Zscan22', 'Osbp', 'Med1', 'Cdk12', 'Rfx1', 'Tmtc3', 'Cep290', 'Usp5', 'Cdca3', 'Dnm2', 'Naa80', 'Lsmem2', 'Ifrd2', 'Hyal3', 'Ppp4r3b', 'Creld2', 'Alg12', 'Fosb', 'Calr3', '1700030K09Rik', 'Eif2ak3', 'Ccdc85c', 'Supt5', 'Lamp1', 'Katnb1', 'Chmp4b', 'Prcc', 'Slc39a1', 'Crtc2', 'Sp2', 'Stag3', 'Gpc2', 'Gal3st4', 'Btrc', 'Prmt1', 'Rps3a1', 'Pnkd', 'Gpbar1', 'Aamp', 'Zcchc14', 'Recql', 'Golt1b', 'Tpr', 'Odr4', 'Sirt2']
Foxj2	['Ccdc57', 'Dus1l', 'Mrpl44', 'Trp53rkb', 'Tatdn3', 'Nsl1', 'Smg8', 'Rad54l2', 'Tmed9', 'B4galt7', 'Drg2', 'Cep104', 'Dffb', 'Nme1', 'Mrpl21', 'Ighmbp2', 'Mtg1', 'Rab33b', 'Stx16', 'Zfp207', 'Slc39a4', 'Cpsf1', '5730455P16Rik', 'Chordc1']
Foxk1	['Greb1', 'Nkx2-6', 'Hbp1', 'Abhd6', 'Olfr806', 'Kpna1', 'Bahcc1']
Foxl2	['Txndc11', 'Pamr1', 'Otud1', 'Gm44805', 'Apoc4', 'Apoc2', 'Apoc1', 'Hjurp', 'A730008H23Rik', 'Hmga2', 'Mrvi1', 'Setd6', 'Abca8a', 'Pomc', 'Cd248', 'Atp2c1', 'Bahcc1', 'Cacna1d', 'Taar7e', 'Taar7d', 'Cobl', 'Mid1', 'Tspan4', 'Polr2l', 'Cd151', 'Ephx2', 'Fam49b', 'Ric8a', 'Odf3', 'Bet1l', 'Ttc33', 'Abca4', 'Olfr679', 'Etv5', 'Ccdc126', 'Sart3', 'Iscu', 'Ccne2', 'Best3', 'Zfp970', 'Cfap126', 'Nudt13', 'Zpld1', 'Gpc6', 'Wipf1', 'Zfp975', 'Dag1', 'Thsd4', 'Timd4', 'Cerk', 'Sept7', 'Greb1', 'Oit3', 'Ube2h', 'Gm21671', '5031410I06Rik', 'Entpd6', 'Ano1', 'Gm1979', 'Gm5862', 'Slc26a11', 'Sgsh', 'Nr1d2', 'Rabgef1', 'Wdr27', '1600012H06Rik', 'Scamp1', 'Dsg1a', 'Pank3', 'Hsd3b1', 'Wdr48', 'Fgd3', 'Cwc22', 'Eapp', 'Trpm3', 'Heg1', 'Gspt1', 'Setd5', 'Ezh1', 'Ralgds', 'Txnip', 'E130309D02Rik', 'Nedd4', 'Dhx40', 'Ccni', '2010109A12Rik', 'Synpo', '1700034E13Rik', 'Speer4a', 'Ppp3cc', 'Sav1', 'Brox', 'Aida', 'Kpna1', 'Upk2', 'Olfr193', 'Olfr192', 'Foxr1', 'Tubb2a', 'Ddit4l']
Foxo1	['Ehmt1', 'Xcr1', 'Fyco1', 'Txndc11', 'Greb1', 'Otud1', 'Cldn34d', 'Arrdc3', 'Tmem125', 'Mknk2', 'Pnrc1', 'Pcmtd2', 'Armc6', 'Sugp2', 'Txnip', 'Stard10', 'Atg16l2', 'Ythdc1', 'Sidt2', 'Olfr806', 'Pxk', 'Cbx7', 'Hexb', 'Olfr854', 'Olfr855', 'Sspn', 'Aida', 'Brox', 'Nkx2-6', 'Txnl4a', 'Rbfa', 'Gimap1', 'Wwox', 'Rasa3', 'Aldh9a1', 'Acacb', 'Nadk', 'Zeb1', 'Junb', 'Prdx2', 'Setd4', 'Cbr1', 'Il31ra', 'Gpr19', 'Zbtb41', 'Gm525', 'Gm10710', 'Dchs2', 'Aadacl2fm1', 'Ccne2', 'Nfatc3']
Foxo3	['Kpna1', 'Pot1a', 'Akt1s1', 'Tbc1d17', 'Pnkp', 'Zfp874b', 'Greb1', 'Arrdc3', 'Mknk2', 'Pbxip1', 'Pygo2', 'Il31ra', 'Ythdc1', 'Bckdk', 'Prss53', 'Vkorc1', 'Mtss2', 'Cldn34d', 'Pik3ip1', 'Gpr19', 'Cbx7', 'Hbp1', 'Txndc11', 'Txnip', 'Ndufa11', 'Vmac', 'Slc25a45', 'Frmd8', 'Ect2', 'Olfr854', 'Olfr855', 'Mical3', 'Bahcc1', 'Scamp5', 'Zfp874a', 'Myh14', 'Sidt2', 'Pou3f3', 'Numa1', 'Sspn', 'Paip2b', 'Atg16l2', 'Stard10', 'Npc1', 'Kiz', 'Myo10', 'Foxj2', 'Cd276', 'Frg1', 'Nsmce4a', 'Tmcc1', 'Nkx2-6', 'Kcnip2', 'Cited2', 'Acacb', 'Tbx6', 'Ypel3', 'Otud1', 'Morn4', 'Pi4k2a', 'Zfp949', 'Rab40b', 'Ralgds', 'Tef', 'Xcr1', 'Fyco1', 'Nfe2l1', 'Per1', 'Vamp2', 'Rmnd5a', 'Dtwd1', 'Fam227b', 'Ube2h', 'Pdk4']
Foxp1	['Ormdl3', 'Irf8', 'Dnajc12', 'Cep170b', 'Rrp15', 'Ins2', 'Igf2', 'Xpa', 'Sun3', 'Gm11992', 'Rmnd5a', 'Arhgap11a', 'Cbx7', 'Plekha1', 'Cdc5l', 'Panx1', 'Nedd9', '6330403K07Rik', 'Prcc', 'Xcr1', 'Fyco1', 'Brd3', 'Rpgrip1l', 'Fto', 'Vps36', 'Ckap2', 'Adgrl3', 'Rfx1', 'Frg1', 'Stat4', 'Hmgcl', 'Gale', 'Cd276', 'Otud1', 'Dlgap1', 'Clcn4', 'Ect2', 'Foxp1', 'Tmc5', 'B230311B06Rik', 'Ralgps1', 'Pxt1', 'Kctd20', 'Dop1b', 'Jam2', 'Plk5', 'Yif1a', 'Tmem151a', 'Cnih2', 'Cs', 'Prune2', 'Atf7ip', 'Gpr37', 'Ccni', '2010109A12Rik', 'Ing3', 'Tmod2', 'Unc119b', 'Acads', 'Hbp1', 'Tsc22d4', 'Nyap1', 'Sart3', 'Iscu', '1110012L19Rik', 'Vkorc1', 'Prss53', 'Bckdk', 'Tomt', 'Lamtor1', 'Anapc15', 'Ppp1cb', 'Zer1', 'Tbc1d13', 'Crebl2', 'Ezh1', 'D1Ertd622e', 'Mafk', 'Kiz', 'Zfp874b', 'Tpp2', 'Ptpa', 'Crat', 'Ppard', 'Snrpb', 'Setx', 'Pdzrn3', 'Wipf1', 'Nacc2', 'Btc', 'Nadk2', 'Slc35c2', 'Cnnm3', 'Cap1', 'Ncdn', 'AU040320', 'Tmem50a', 'Syf2', 'Rsrp1', 'Trps1']
Foxp3	['Txndc11', 'Lztfl1', 'Greb1', 'Abhd6', 'Olfr806', 'Pbx1', 'Foxp1', 'Psrc1', 'Ect2', 'Kpna1', 'Cbr1', 'Setd4', 'Pde7a', '2010109A12Rik', 'Ccni', 'Def8', 'Zfp981', 'Wwox', 'Cldn34d', 'Brox', 'Aida', 'Knl1', 'Acacb', 'Psmf1', 'Sspn', 'Il31ra', 'Lrrc61', 'Amz2', 'Zfp385a', 'Aadacl2fm1', 'Art2b', 'Frg1', 'Mxd4', 'Hexb', 'Ldlrad4', 'Polr1e', 'Zbtb5', 'Gimap1', 'Cic', 'Spty2d1']
Gabpa	['Mrpl44', 'Tmem68', 'Tgs1', 'Gle1', 'Tatdn1', 'Ndufb9', 'Taf7', 'Slc25a2', 'Srfbp1', 'Scrn3', 'Cir1', 'Tapbp', 'Rgl2', 'Dmap1', 'Fam149b', 'Ecd', 'Fbxw8', 'Tmem101', 'Rnf185', 'Dnajc24', 'Dguok', 'Ppan', 'Angptl6', 'Rbm34', 'Dus1l', 'Tent2', 'Ssr2', 'Appl2', '4930453N24Rik', 'Tomm22', 'Rad1', 'Brix1', 'Exoc1', 'Exoc3l', 'Elmo3', 'E2f4', '4931428F04Rik', 'Psma6', 'Uggt1', 'Eif3l', 'Naa20', 'Rom1', 'Eml3', 'B3gat3', 'Aaas', 'Clasrp', 'Tmco1', 'Asb1', 'Dnttip2', 'Tmem161b', 'Stoml2', 'Pigo', 'Fam214b', 'Taf12', 'Kctd5', 'Eif4a3', 'Card14', 'Trmt6', 'Mcm8', 'Eya3', 'Rsl1d1', 'Pfdn5', 'Myg1', 'Uba2', 'Klhdc4', 'Noc3l', 'Mrpl1', 'Sdhaf3', 'Ttc4', 'Stx16', 'Yipf2', 'Timm29', 'Trp53rkb', 'Alkbh3', 'Lrrc47', 'Snrpc', 'Zscan12', 'Epn1', 'Urm1', 'Rrp1', 'Rpf1', 'Med23', 'Klhl20', 'Bbs10', 'Mettl6', 'Eaf1', 'Vps33b', 'Pomp', 'Rars', 'Grpel2', 'Pold1', 'Nr1h2', 'Pofut2', 'Ccz1', 'Hars2', 'Hars', 'Strap', 'Zbtb49', 'Lyar', 'Bspry']
Gad1	['Greb1', 'Nkx2-6', 'Cldn34d', 'Atp6v0c', 'Amdhd2', 'Fbxw4', 'Abhd6', 'Phf23', 'Gabarap', 'Dvl2', 'Spata25', 'Neurl2', 'Ctsa', 'Mfsd1', 'Aida', 'Brox', 'Mthfr', 'Clcn6', 'P2rx7', 'Zmym6', 'Dync1h1', 'Dph2', 'B4galt2', 'Atp6v0b', 'Washc2', 'E030030I06Rik', 'Kpna1', 'Nagpa', 'Ilf3', 'Hexa', 'Olfr806']
Gadd45a	['Cldn34d', 'Brox', 'Aida', 'Greb1', 'E030030I06Rik', 'Txndc11', 'Pknox1', 'Fbxw4']
Gata1	['Zfp207', '5730455P16Rik', 'Eif1', 'Gnpda1', 'Cldn34d', 'Brox', 'Aida', 'March2', 'Rpp25', 'Xpo7', 'Med17', 'Nudt4', 'Frmd4a', 'Metap1d', 'Calr', 'Rad23a', 'Gadd45gip1', 'Clcn3', 'Tut7', 'Cd59b', 'Hdgf', 'Tmcc2', 'Ctse', 'Rap1a', 'Tsnaxip1', 'Ranbp10', 'Tbxas1', 'Il1r1', 'Ifitm10', 'Ctsd', 'Abcb10', 'Phf21a', 'Trim15', 'Trim10', 'Depdc1b', 'Cd81', 'Tmem107', 'Borcs6', 'Ncoa7', 'Znfx1', 'Panx1', 'Slfn14', 'Bola3', 'Tmem184a', 'Gata2', 'Rnf10', 'Cited4', 'Treml4', 'Art4', 'Prxl2b', 'Hace1', 'Odc1', 'Mfsd2b', 'Cmtr1', 'Plekha6', 'Dock8', 'Smim11', 'Kcne2', 'Usp21', 'Ppox', 'Got1', 'Prokr1', 'Padi1', 'Zfyve27', 'Ly6g6f', 'Ly6g6d', 'Abhd16a', 'Ly6g6e', 'Gngt2', 'Abi3', 'Reln', 'Lyl1', 'Lrrc63', 'Lcp1', 'E2f2', 'Otub2', 'Hmbs', 'H2ax', 'Vwa7', 'Sapcd1', 'Sh3tc2', 'Tfb2m', 'Cnst', 'Ypel4', 'Clp1', 'Fndc9', 'Plscr3', 'Tnk1', 'Cd59a', 'Rmdn3', 'Arhgap39', 'Acp5', 'Rfx2', 'Tbcel', 'Selenbp1', 'Snca', 'Cdkn2d', 'Ppp1r37', 'Gemin7', 'Grtp1']
Gata2	['Diaph3', 'Xrcc6', 'Desi1', 'Fpgs', 'Bmpr1a', 'Cfap45', 'Ankrd60', 'Tspan5', 'Zdhhc24', 'Actn3', 'Stk39', 'Fshr', 'Slc11a1', 'Catip', 'Myl6b', 'Eif3d', 'Itgb7', 'Rarg', '1700034J05Rik', 'Arap1', 'Unkl', 'Gm38655', 'BC003965', 'Tnfaip1', 'Ift20', 'Btg2', 'Irf9', 'Ttc13', 'Arv1', 'Tfeb', 'Myo18a', 'Scd2', 'Lekr1', 'Tmem101', 'Gna15', 'Mcrs1', 'Smagp', 'Tox2', 'Eloa', 'Crtac1', 'Arhgef7', 'Bptf', 'Tab3', 'Gtf2i', 'Sh2d6', 'Rab8b', 'Rasal1', 'Rbm27', 'Mapk6', 'Itm2c', 'H4c14', 'H3c13', 'H2bc18', 'Mmp23', 'Ubxn11', 'Pik3r6', 'Lyrm7', 'Hint1', 'Wsb1', 'Rgs2', 'Wdr20', 'Pdxp', 'Lgals1', 'Zfp655', 'Rpp25', 'Fam20b', '4930503B20Rik', 'Klk4', 'Hephl1', 'Sh3bgrl3', 'Rxra', 'Ankrd61', 'Itprip', 'Il13', 'Adamtsl4', 'Arhgap25', 'Piwil4', 'Tmem143', 'Syngr4', 'Trappc3l', 'Calhm4', 'Chek2', 'Serinc3', 'B3galnt1', 'Lsm4', 'Hoxc12', 'Hoxc11', 'Pttg1ip', 'Rsad1', 'Itsn1', 'Cryzl1', 'Mfsd2b', 'Phldb3', 'Slc13a2', 'Syt7', 'Mpdu1', 'Eif4a1', 'Cd68', 'Zfp663', 'Ccdc9']
Gata3	['Txndc11', 'Tnfaip1', 'Ift20', 'Tox2', 'Cmss1', 'Batf3', 'Slc25a23', 'Crb3', 'Smr3a', 'Tmem274', 'Stk40', 'Lsm10', 'Gpr146', 'Harbi1', 'Atg13', 'Tcf3', 'Serping1', 'Art2b', 'Myl6b', 'Apol9b', 'Vmn1r183', 'Sfswap', 'Rad51ap1', 'D6Wsu163e', 'Timm22', 'Nxn', 'Rorc', 'C2cd4d', 'Unkl', 'Gm38655', 'BC003965', 'B230118H07Rik', 'Smarce1', 'B3gnt2', 'Fbp1', 'Ttc32', 'Olfr525', 'Wnk1', 'Cpa3', 'Slc2a3', 'Plcxd1', 'Snrnp35', 'Rilpl2', 'Fbxo8', 'Cep44', 'Rbl2', 'Insig1', 'Chd3', '2510009E07Rik', 'Dbr1', 'Armc8', 'Ppp1r37', 'Itgb7', 'Gimap1', 'Pdgfrb', 'Acap2', 'Dennd2c', 'Snai3', 'Etv5', '4930503B20Rik', 'Setd1a', 'Orai3', 'Dennd1b', 'Mrps14', 'Tulp2', 'Nucb1', 'Nol4l', 'Npc2', 'Isca2', 'Nucks1', 'Rab11fip3', 'Itk', 'Arhgap25', 'Agps', 'Gabpb2', 'Cldn34d', 'Rgs2', 'Brpf1', 'Acot11', 'Slc9a9', 'Prss32', 'Prss21', 'Psat1', 'Jazf1', 'Pdxp', 'Lgals1', 'Eif3d', 'Anp32b', 'Gm4925', 'Arl1', 'Map3k5', 'Brox', 'Aida', 'Cd226', 'Cstad', 'Fpgs', 'Map2k6', 'Map4k4', 'Cnr2', 'Ndufa9']
Gata4	['Ttc32', 'Cldn34d', 'Txndc11', 'Tcf3', 'Hgsnat', 'Zc3h6', 'Stk16', 'Glb1l', 'Tuba4a', 'A630095N17Rik', 'Brox', 'Aida', 'Cd59a', 'Dhrsx', 'Spty2d1', 'E030030I06Rik', 'Mylk3', 'Got1', 'Chia1', 'Lrig3', 'Plekha6', 'Man1b1', 'Lyl1', 'Pzp', 'Slc25a23', 'Crb3', 'Atg4d', 'Olfr893', 'Ccni', '2010109A12Rik', 'Top2a', 'Sulf1', 'Sde2', 'Ccdc9', 'Pdlim5', 'Ccdc33', 'Stra6', 'Rrp1', 'Cdca8', '9930104L06Rik', 'Tinf2', 'Nedd8', 'Gmpr2', 'Rhobtb1', 'A930033H14Rik', 'Arsa', 'Atf3', 'Eif3d', 'Nr1h4', 'Tulp2', 'Nucb1', 'Sec61b', 'Alg2', 'Birc5', 'Sspn', 'Abcg8', 'Abcg5', 'Ints2', 'Rps26', 'Shroom3', 'Zbtb21', 'Mpp7', 'Anxa9', 'St6galnac1', 'Tmem98', 'Wdr95', 'Cfc1', 'Dcdc2a', 'Ccnb2', 'Rnasek', '0610010K14Rik', 'Slc35b1', 'Bcl6b', 'Tnnc2', 'Ube2c', 'Btbd9', 'Vwa7', 'Sapcd1', 'Ephb4', 'Spink4', 'Ttk', 'Ap5s1', 'Calm2', 'Ttc13', 'Arv1', 'Med26', 'Bpifb1', 'Unkl', 'Gm38655', 'BC003965', 'Cyp21a1', 'Fndc7', 'Bckdk', 'Vkorc1', 'Prss53', 'AY761185', 'Hspa9', 'Sgpp1', 'Cdkn1a', 'Nyx']
Gata6	['Cldn34d', 'Txndc11', 'Brox', 'Aida', '1700019A02Rik', 'Csrp2', 'Plek2', 'Cpa4', 'Ncaph2', 'Lmf2', 'Gatd1', 'Cend1', 'Tarbp1', 'Tnni2', 'Syt8', 'Ube2h', 'Smim11', 'Kcne2', 'Tcf19', 'Pou5f1', 'Cchcr1', 'Got1', 'Slc25a13', 'Arc', 'E030030I06Rik', 'Rxra', 'Krt19', 'Krt15', 'Zfp868', 'Slc2a9', 'Ckap4', 'Pik3r2', 'Pip5k1b', 'Tox2', 'Greb1', '1700011L22Rik', 'Serpinh1', 'Galnt6', 'Pak2', 'N6amt1', 'Wbp1l', 'Add2', 'Pde4dip', 'Phf21a', 'Tmem184a', 'Psmg3', 'Tmem125', 'Spty2d1', 'Klrb1b', 'Tstd1', 'Sprr2a3', 'Irgc1', 'Bdkrb2', 'Kpna1', 'Slc4a8', 'Frat2', 'Ccdc63', 'Aqp8', 'Gtf3c6', 'Ajuba', 'Myh4', 'B3gnt9', 'Glipr2', 'Nipsnap2', 'Mrps17', 'Slc9a5', 'Fhod1', 'Npc2', 'Isca2', 'Tmem59l', 'Klhl26', 'Tmprss11f', 'C3ar1', 'Sppl2a', 'Slc6a2', 'Spink4', 'Bahcc1', 'Fermt2', 'Dok4', 'Sppl3', 'Klf3', 'Mvb12b', 'Etv3l', 'Lonp2', 'Grk6', 'Lgals6', 'Lgals4', 'Lrig3', 'Bub1b', 'Olfr455', 'Xpo6', 'Zfp282', 'Fbxw4', 'Dnase2b', 'Zfp729b', 'Guca2a', 'Krt8', 'Akr1b8', 'Tcf3', 'Dio3']
Gckr	['Txndc11', 'Cldn34d']
Gcm1	['Cldn34d', 'Brox', 'Aida', 'Txndc11', 'Fbxw4']
Gfi1	['Cdc42bpb', 'Slc37a3', 'Rab19', 'Slc15a3', 'Plec', 'Zfp532', 'Psmb2', 'Cldn1', 'Mex3a', 'Alg14', 'Dhx8', 'Sh2b1', 'Tufm', 'Lgmn', 'Tnfaip1', 'Ift20', 'Gtf3c5', 'Epn1', 'Slc44a4', 'Ttc21b', 'Poc5', 'Gtpbp10', 'Gm2a', 'Aktip', 'Ing3', 'Asf1b', 'Tmem125', 'Txndc11', 'Pld4', 'Mpzl1', 'Fam222b', 'Plekha1', 'Nav2', 'Crebbp', 'Stn1', 'Smap2', 'Prkrip1', 'Zdhhc7', 'Rab5if', 'Braf', 'Sowahc', 'Sept10', 'Zfp658', 'Ppp2r3a', 'Map3k3', 'Ifngr2', 'Rmi2', 'Srpk1', 'Npas4', 'Gfi1b', 'Rgmb', 'Sema4c', 'Rnft2', '2410131K14Rik', 'Gas2l3', 'Egfl7', 'Trim26', 'Xpo1', 'Sppl2a', 'Cdc42ep4', 'Clock', 'Prss21', 'Arhgap35', 'Klhl41', 'Sgpl1', 'Faf1', 'Cdkn2c', 'Tinf2', 'Nedd8', 'Gmpr2', 'Scamp4', 'Adat3', 'Rara', 'Panx1', 'Pold2', 'Ankrd40', 'Ubr3', 'Ttc21a', 'Gorasp1', 'Pfpl', 'Qrsl1', 'Itsn1', 'Cryzl1', 'Pop4', 'Dhrs7b', 'Tmem175', 'Gak', 'Luc7l', 'Fam234a', 'Arl4c', 'Syp', 'Insm1', '4930519G04Rik', 'Snai1', 'Cep135', 'Ppp4c', 'Aldoa', 'Slc25a4', 'Vamp3', 'Cacna1d']
Gfi1b	['Slc37a3', 'Rab19', 'Alg14', 'Plec', 'Lgmn', 'Slc15a3', 'Gtf3c5', 'Mex3a', 'Zfp532', 'Cdc42bpb', 'Txndc11', 'Gadd45a', 'Ttc21a', 'Gorasp1', 'Smap2', 'Ankrd33', 'Zfp658', 'Prkrip1', 'Ankrd40', 'Muc3', 'Dnaja3', 'Coro7', 'Cdc42ep4', 'Gpr84', 'Swsap1', 'Gfi1b', 'Aktip', 'Pld4', 'Dhrs7b', 'Nav2', 'Psmb2', 'Tnfaip1', 'Ift20', 'Ppp2r3a', 'Sema4c', 'Epn1', 'Insm1', 'Map3k3', 'Tmem109', 'Gm29776', 'Cebpe', 'Tigar', 'Enpp7', 'Rara', 'Plekha7', 'Zc3h12d', 'Panx1', 'Xpo1', 'Pcdh1', 'Sowahc', 'Sept10', 'Zfr2', 'Tpst1', 'Pfpl', 'Plekhh3', 'Cntnap1', 'Ccr10', 'Rmi2', 'Brox', 'Aida', '4930519G04Rik', 'Prdx1', 'Ip6k3', 'Cacna1d', 'Dhx8', 'Xdh', 'Ttc21b', 'Rnft2', '2410131K14Rik', 'Cnr2', 'Bfsp2', 'Npas4', 'Pmvk', 'Tpm4', 'E2f2', 'Ifngr2', 'Gm2a', 'Zdhhc7', 'Sh2b3', 'Pheta1', 'Rpp25', 'Tnfsf9', 'Cldn34d', 'Mpzl1', 'Fignl1', 'Ezh1', 'Dbr1', 'Papln', 'Arhgef37', 'Ubc', 'Dusp22', 'Cyp2w1', 'Cox19', 'Egfl7', 'Mapkapk5', 'Arhgap25', 'Greb1', 'Mpeg1', 'Atp13a2', 'Npy2r']
Gli1	['Cox14', 'Cldn34d', 'Nkx2-6', 'Greb1', 'E030030I06Rik', 'Brox', 'Aida', 'Abhd6']
Gli2	['Cox14', 'Greb1', 'E030030I06Rik', 'Nkx2-6', 'Cldn34d', 'Brox', 'Aida', 'Pknox1', 'Fbxw4', 'Txndc11', 'Abhd6']
Gli3	['Txndc11', 'Gm525', 'Olfr401', 'Cntrl', 'Gm11213', 'Kiz', 'Rps6kc1', 'BC017158', 'Cyp2a5', 'Evx1', 'Gdf3', 'Slc2a2', 'Ptgr2', 'Tnfaip6', 'Psmd5', 'Nkap', 'Denr', 'Sprr4', 'Sprr1a', 'Tmem125', 'Spock1', 'Rgs20', 'Kbtbd8', 'Cldn34d', 'Tmsb10', 'Pcdhb8', 'A930018P22Rik', 'Mras', 'Tulp1', 'BC053393', 'Zfp629', 'Dcdc2a', 'Gp9', 'Fam214b', 'Dux', 'Cldn34-ps', 'Olfr270', 'Tmprss5', 'Sfi1', 'Eif4enif1', 'Kdm4a', 'Ifnl3', 'Zfp386', 'Podnl1', 'Cpt1a', 'Sntb1', 'Ercc4', 'Mup2', 'Mup15', 'Rnf220', 'Gpsm1', 'Mto1', 'Cgas', 'Popdc3', 'Wipf1', 'Sp140', 'Sp110', 'Lcmt2', 'Adal', 'Slc45a1', '3110040M04Rik', 'Nprl3', 'Hba-x', 'Hba-a2', 'Hba-a1', 'Zfp957', 'Fbxo10', 'Cyp2a4', 'Grxcr2', 'Dnah6', 'Vstm5', 'Eef2', 'Dapk3', 'Gm4981', 'Taar8b', 'Cfh', 'Atoh7', 'Marveld2', 'Prpf39', 'Zfp970', 'Obox3', 'Klf10', 'Tuba3a', 'Dnah12', 'Tsn', 'Nifk', 'Vmn1r66', 'Ptcd1', 'Cpsf4', 'Pik3r6', 'Ctsb', 'Optn', 'Rbbp8', 'Taar2', 'Slc10a6', 'Klhl23', 'Scap', 'Parva', 'Vps37d', 'Mlxipl']
Glis3	['Greb1']
Glyr1	['Brox', 'Aida', 'Cldn34d', 'E030030I06Rik']
Gmnn	['Cldn34d', 'Wdr88', 'Kcnk3']
Gps2	['Txndc11', 'Brox', 'Aida', 'Greb1', 'Kpna1', 'Il31ra', 'Cldn34d', 'Olfr854', 'Olfr855', 'Fbxw4', 'Nkx2-6', 'Hexb', 'E030030I06Rik', 'Slc35e3', 'Sspn', 'Slc39a10', 'Osbpl1a', 'Nemf', 'Ddx17', 'Pknox1', 'Olfr806', 'Rps29', 'Lrr1']
Grhl2	['4931406P16Rik', 'Tnni2', 'Syt8', 'Tmc5', 'B230311B06Rik', 'Faf1', 'Cdkn2c', 'Kmt5a', 'Rbbp8nl', 'Greb1', 'Nectin4', 'Uqcr11', 'Mbd3', 'Rbm12b2', 'Atp8b1', 'Tmem54', 'Knop1', 'Iqck', 'Setd1b', 'Rhof', 'Zfp882', 'Srrm1', 'Dsp', 'Rasef', 'Dab2ip', 'Tead3', 'Trpm4', 'Hrc', 'Cldn34d', 'Slc44a2', 'Aldh3b2', 'Slc25a27', 'Cyp39a1', 'Rab29', 'Cdc6', 'Cfap298', 'Fam177a2', 'Fam177a', 'Tfap2a', 'Hivep2', 'Pak2', 'Akap14', '9430015G10Rik', 'Zfp667', 'Itih5', 'Txndc11', 'Zfp7', 'Zfp251', 'Chka', 'Uhrf1', 'Arrdc5', 'Tjp2', 'Dnmt1', 'Nkx2-6', 'Myo10', 'Epcam', 'Mageb16', 'Setx', 'Chmp4b', 'Lig4', 'Abhd13', 'Prom2', 'Bmf', 'Rhou', 'Epn3', 'Traf2', 'Il25', 'Efs', 'Gatad2a', 'Rbm15', 'Slamf9', 'Igsf9', 'Zbtb26', 'Rabgap1', 'Zfp54', 'Cds1', 'Srgap3', 'Tap1', 'Psmb9', 'Psmb8', 'Vcpip1', 'Mtss2', 'Brox', 'Aida', 'Slc4a9', 'Kcnk1', 'Zbtb32', 'Kmt2b', 'Gip', 'Foxn2', 'Arhgef10l', 'Marcksl1', 'Osgin1', 'Necab2', 'Gramd3', 'Rps6ka1', 'Capn5', 'Vmn1r211', 'Ier2', 'Erbb3']
Grhl3	['Greb1', 'Txndc11', 'Nkx2-6']
Grip1	['Greb1', 'Cldn34d', 'Nkx2-6']
Gtf2a2	['Greb1', 'Wwox', 'Abhd6', 'Olfr806', 'Acacb', 'Aadacl2fm1', 'Olfr855', 'Olfr854', 'Setd4', 'Cbr1']
