TF	Variance explained	Nr of genes
Acaa2	0.5086202388218497	569
Acss2	0.5248985961259628	649
Actb	0.5441647597971162	17
Adnp	0.4453606727991884	3431
Aebp2	0.4746484740350419	8720
Aff3	0.47270981555793773	6886
Aff4	0.4865091786738608	1844
Ahcy	0.475663569475809	108
Ahr	0.40395640098204066	1538
Aicda	0.42889241526613575	220
Aire	0.4559607413633798	9339
Anp32e	0.5022784593327335	2433
Ar	0.4432368532567728	6891
Arid1a	0.4408327375012969	2521
Arid3a	0.4645489716881691	5778
Arid4b	0.4885516048278919	2935
Arntl	0.44611596500477774	9195
Art1	0.6124928623413519	8
Ascl1	0.4594941347341626	10794
Ascl2	0.423417129902564	1105
Ash1l	0.46910746452839164	14
Ash2l	0.4686769442023942	11036
Asxl1	0.4618006920665988	10079
Atf2	0.4535802964937853	5766
Atf3	0.44689215573019797	9114
Atf4	0.43041767213623466	5537
Atf7	0.49666662771836767	623
Atf7ip	0.4658146667464024	368
Atm	0.6851146611736549	11
Atoh1	0.44910126965930375	2514
Atrx	0.46645514324578524	9543
Auts2	0.51382273094417	1641
Bach1	0.468136266118101	5512
Bach2	0.44545477052551913	7373
Bap1	0.4916776734423609	3379
Batf	0.45238623978833187	10913
Batf3	0.4349036708990412	4778
Baz1a	0.43559619514295045	76
Baz1b	0.4920837016328199	70
Baz2a	0.7275249926243054	12
Bbx	0.5172496954343553	297
Bcl11a	0.6171910245681719	8
Bcl11b	0.4553804021024388	11164
Bcl6	0.4408330709379394	9092
Bcor	0.46849761901037995	5826
Bhlhe40	0.44898553084519305	10558
Bhlhe41	0.4649567575479981	3605
Bmi1	0.47819818804072267	1580
Brca1	0.4430118820322907	207
Brd2	0.46031030917848476	10369
Brd3	0.5114734156599358	925
Brd4	0.45265651269529006	12049
Brd9	0.46657796061117446	8474
Brf1	0.4005581434782068	77
Brf2	0.5056513758455858	23
Brwd1	0.43080893297043504	378
Btaf1	0.4569054297928498	11397
Carm1	0.45483312272411985	61
Cbfa2t2	0.4456676999598158	1905
Cbfa2t3	0.4686562833985226	9354
Cbfb	0.4549433913547022	10992
Cbx1	0.4667279854823039	3155
Cbx2	0.4411874330778352	2409
Cbx3	0.47544654640946116	9491
Cbx5	0.4677290344146606	334
Cbx7	0.46365440619028075	5905
Cbx8	0.4792211065180092	3814
Ccnk	0.5144493440755951	1077
Ccnt1	0.48819493307985934	3742
Cdc73	0.4405090791976211	3897
Cdk8	0.47008568248477095	6934
Cdk9	0.46593894770991007	7436
Cdx2	0.45435815153034775	2694
Cebpa	0.45085529924265716	11999
Cebpb	0.4506203918844968	11963
Cebpd	0.42590630472159247	5739
Cebpe	0.43671399630999225	6674
Cebpg	0.4405431945221401	485
