TF	Variance explained	Nr of genes
Gata1	0.4258737495389049	12767
Gata2	0.43530422523832485	15119
Gata3	0.42596364339988746	14109
Gata4	0.441100708462962	16740
Gata6	0.4065480292329769	4102
Gckr	0.49438567439784825	3942
Gcm1	0.6063966950658735	8
Gfi1	0.4501514461248952	15287
Gfi1b	0.4381902669574977	7983
Gli1	0.4157379975109319	3378
Gli2	0.41452885274807805	4476
Gli3	0.4462616336927204	15194
Glis3	0.40639955936879674	28
Glyr1	0.5230125800897871	19
Gmnn	0.4411746051094361	3239
Gps2	0.40268988766355257	9174
Grhl2	0.4232176577168589	2353
Grhl3	0.43568937915110184	1306
Grip1	0.39172088402763694	1485
Gtf2a2	0.38490024559184416	136
Gtf2b	0.44684997953590805	12292
Gtf2e2	0.42433164961367903	7262
Gtf2f1	0.3843892761542884	76
Gtf3c1	0.4565418871690187	14276
Gtf3c2	0.4235862681737358	227
Gtf3c4	0.4289254432174439	143
Hand1	0.4581409574675832	439
Hand2	0.44095310403768834	13614
Hcfc1	0.4332995663465914	13686
Hdac1	0.4449617872614923	13404
Hdac2	0.4379176091106088	15994
Hdac3	0.43439821457876987	15126
Hdac4	0.41957384470716347	826
Hells	0.4759306812530412	2174
Hexim1	0.45868958443311914	12950
Hic2	0.4199522214309506	1431
Hif1a	0.4557990822902495	4199
Hira	0.4134624744192363	126
Hmga2	0.41644006873093675	22
Hmgn2	0.41217885416837297	100
Hnf1a	0.4186990639349789	2588
Hnf1b	0.41083643375614176	1467
Hnf4a	0.42464338039391253	13994
Hnf4g	0.40293469788837455	6957
Hnrnpk	0.3689992111091565	291
Hnrnpl	0.4046965620120504	65
Hnrnpu	0.45591649335048445	4681
Hopx	0.45933542672320443	8984
Hoxa11	0.4467704345478473	228
Hoxa13	0.43062190451806615	8317
Hoxb1	0.44445963550775136	9844
Hoxb4	0.42423718940569916	9347
Hoxc10	0.41918293544335766	134
Hoxc6	0.43257061404013036	141
Hoxd13	0.44310193055341324	3083
Hsf1	0.4170268142968643	3259
Hsf2	0.4578731595197773	23
Htatsf1	0.48134297412949634	4187
Htt	0.4698019861299615	20
Id2	0.4484603476901425	5954
Ikzf1	0.4321688385385059	14077
Ikzf2	0.49179103598782187	2051
Ikzf3	0.46254701269487464	774
Ing1	0.37775748214486904	44
Ino80	0.45694461237623163	13265
Insm1	0.4511441011634006	14253
Irf1	0.40007251073792577	5933
Irf2	0.44002662461008984	2557
Irf2bp2	0.38728298682912354	2058
Irf3	0.40985995194475566	7957
Irf4	0.43187077399959367	16017
Irf5	0.4226377092218333	10646
