TF	Variance explained	Nr of genes
Acaa2	0.9705471080596391	3
Acss2	0.6119371591093139	4
Actb	0.6331002888297124	5
Adnp	0.4229702527281888	164
Aebp2	0.5212153004595397	236
Aff4	0.3652607400129682	17
Ahcy	0.5432299543497974	15
Ahr	0.43701368488360665	63
Aicda	0.5443612251524144	12
Anp32e	0.9705471080596391	3
Arid1a	0.40190930036805966	63
Arid3a	0.5063745994745501	83
Arid4b	0.5456753793507456	5
Ascl2	0.5235674992985794	48
Ash1l	0.9705471080596391	3
Atf2	0.43442707845010176	225
Atf7	0.5645012280211624	6
Atf7ip	0.38432287573003804	22
Atm	0.6593756849568781	5
Atoh1	0.518151879378795	118
Atrx	0.47684787791966665	290
Auts2	0.5207367703943412	389
Bach1	0.4229023857735862	346
Bap1	0.4716926462358847	20
Baz1a	0.5129500201099505	22
Baz1b	0.4851274259274135	18
Baz2a	1.0	2
Bbx	0.6658021274697536	5
Bcl11a	0.5979521981003062	6
Bcl6	0.3636803546898444	160
Bcor	0.5437222911582918	15
Bmi1	0.5323014741637692	174
Brca1	0.35246792078005545	13
Brd3	0.4619557720743901	11
Brd9	0.5309849293804622	24
Brf1	0.7039055380366083	5
Brf2	0.45520515546429985	5
Brwd1	0.46851275580800716	45
Carm1	0.6439592607865596	2
Cbfa2t2	0.4128720002182097	324
Cbfa2t3	0.38565458921641166	357
Cbx1	0.47652580855698784	50
Cbx2	0.36204361799230367	74
Cbx5	0.5142562216511223	20
Cbx8	0.47664475260475486	105
Ccnk	0.6447102208054379	12
Ccnt1	0.4240283599302791	45
Cdc73	0.4109740267554082	343
Cdk8	0.4599677534995839	60
Cdk9	0.4516102571831433	67
Cdx2	0.4285037397268186	92
Cebpg	0.3830783075466676	87
Chaf1b	0.569314236423915	16
Chd1	0.41974154604181013	383
Chd8	0.5174273410804595	227
Creb3l2	0.4570670572926788	162
Crtc2	0.41734367832983216	430
Crx	0.5025299980960825	16
Cry1	0.5965197887008499	14
Ctcfl	0.47453566217462156	291
Ctr9	0.3766623235002552	126
Cux2	0.3833443192892796	12
Cxxc5	0.4981772525269139	94
Daxx	0.49944950740855387	97
Ddit3	0.42817349023896917	20
Ddx5	0.6439592607865597	3
Dgcr8	0.4601644572604665	40
Dicer1	0.6417547506445568	10
Dlx1	0.6534498668773967	8
Dlx3	0.5984426208014707	9
Dmap1	0.4468570123372648	14
Dmrtb1	0.6122057098207236	12
Dnajc2	0.3591920039346967	15
Dnmt3a	0.46917181061197366	18
Dnmt3b	0.5160705584379919	14
Dpf2	0.4641219289909297	163
Dpy30	0.4546675944210238	65
Drosha	0.6362041467705072	4
E2f3	0.4064498976989955	258
E4f1	0.29908649422670286	11
Ebf4	0.481508689580695	273
Eed	0.45828106148104764	27
Egr1	0.43361800728594574	287
Ehf	0.450458942016962	24
Ehmt2	0.5207779410737295	16
Elk1	0.4487365359261091	35
Elk3	1.0	1
Elk4	0.3681974315783382	13
Ell	0.4824261944495782	19
Ell2	0.4356124947206201	26
Ell3	0.4415290215316099	288
Elob	0.47546480556870346	24
Eomes	0.4985653729265678	31
Ep400	0.43261688551860217	83
Epop	0.35282058189173454	215
Ercc3	0.4677203609817454	5
Esrrg	0.5577396891024098	5
Etv2	0.5577396891024095	5
Ezh1	0.42045323095523945	22
Fosb	0.41541864265903145	27
Foxa3	0.49532055999391483	38
Foxf1	0.4428137473339104	201
Foxg1	0.5026568985858503	72
Foxj2	0.5612354680459758	128
Foxk1	0.3785385016491402	9
