TF	Variance explained	Nr of genes
Acaa2	0.6611944087753154	4
Acss2	0.6313716970331636	5
Actb	0.6331002888297125	6
Adnp	0.4127504668167421	261
Aebp2	0.5183156349010446	291
Aff3	0.4529845233843409	877
Aff4	0.3203319648376397	26
Ahcy	0.5279430478838278	19
Ahr	0.43573636306265645	100
Aicda	0.4886718453647498	17
Aire	0.44819507982262674	1527
Anp32e	0.9705471080596391	3
Ar	0.4299595979106636	2416
Arid1a	0.39742337036843667	103
Arid3a	0.5029838956119471	107
Arid4b	0.6114204741818474	6
Arntl	0.4031366235705034	3728
Ascl1	0.4634756921230466	3487
Ascl2	0.45380130017082954	76
Ash1l	0.9705471080596391	3
Ash2l	0.5133096599094107	3333
Asxl1	0.4798896769156184	1525
Atf2	0.4308904922612204	362
Atf3	0.3991554092824644	2576
Atf4	0.39855263975102695	1336
Atf7	0.5645012280211624	6
Atf7ip	0.39792295690986945	27
Atm	0.6593756849568781	5
Atoh1	0.47709556676580567	184
Atrx	0.46002365989416294	407
Auts2	0.5095054221498707	484
Bach1	0.42151730311980873	414
Bach2	0.38792200103024504	1479
Bap1	0.4848702408636485	28
Batf	0.4096839322168753	4078
Batf3	0.39802139449283896	805
Baz1a	0.5111376238547515	23
Baz1b	0.4773995807292601	21
Baz2a	0.8786278958588766	4
Bbx	0.4622665964751019	7
Bcl11a	0.6279667083670079	7
Bcl11b	0.44255336530508443	9087
Bcl6	0.38360952392050773	260
Bcor	0.43210456253155105	22
Bhlhe40	0.41208414415973044	5647
Bhlhe41	0.4607728549215092	1107
Bmi1	0.5269072446493993	239
Brca1	0.4041282721613325	16
Brd2	0.48023188130109995	1738
Brd3	0.5526251138781717	20
Brd4	0.44528072852228767	10655
Brd9	0.5626264468566046	32
Brf1	0.5433013433217435	14
Brf2	0.41485309326132425	10
Brwd1	0.48091553353550637	59
Btaf1	0.46483248310594527	11554
Carm1	0.6439592607865596	2
Cbfa2t2	0.4160111873310528	413
Cbfa2t3	0.4172149491628877	656
Cbfb	0.43887734192331734	6922
Cbx1	0.45323802924705925	78
Cbx2	0.3670264237855561	109
Cbx3	0.46393807738096116	1238
Cbx5	0.5098883719257828	24
Cbx7	0.5979707296384025	1678
Cbx8	0.49894749680654754	149
Ccnk	0.6436166767943111	16
Ccnt1	0.43844821457447636	85
Cdc73	0.41398380863301093	452
Cdk8	0.42064534649102503	98
Cdk9	0.43610288037453515	115
Cdx2	0.41113356646325705	148
Cebpa	0.4200440033595895	13753
Cebpb	0.4172421582190272	12520
Cebpd	0.38948749995445775	1469
Cebpe	0.3911083521599204	3642
Cebpg	0.3981768007452789	103
Chaf1b	0.5435627777189448	20
Chd1	0.42933657733735553	439
Chd2	0.4544578911546978	2727
Chd4	0.4560853038692965	14384
Chd7	0.5294759248551038	887
Chd8	0.5140390749276479	383
Clock	0.38601794458138844	4503
Creb1	0.4455824998008631	9517
Creb3l2	0.45964404849133206	247
Crebbp	0.38805451738471525	1647
Crtc2	0.4216863753577967	568
Crx	0.5015053641152275	27
Cry1	0.5803029648096915	17
Ctcf	0.4456596527039959	16091
Ctcfl	0.47303738333011774	425
Ctnnb1	0.4153378808090431	1159
Ctr9	0.3809878917409356	175
Cux2	0.3833443192892796	12
