TF	Variance explained	Nr of genes
Gata1	0.4258737495389051	12767
Gata2	0.4353042252383255	15119
Gata3	0.42596364339988774	14109
Gata4	0.441100708462963	16740
Gata6	0.40654802923297706	4102
Gckr	0.49438567439784703	3942
Gcm1	0.6063966950658735	8
Gfi1	0.450151446124895	15287
Gfi1b	0.4381902669574974	7983
Gli1	0.41573799751093116	3378
Gli2	0.4145288527480793	4476
Gli3	0.4462616336927207	15194
Glis3	0.40639955936879674	28
Glyr1	0.5230125800897871	19
Gmnn	0.4411746051094367	3239
Gps2	0.40268988766355185	9174
Grhl2	0.42321765771685843	2353
Grhl3	0.4356893791511019	1306
Grip1	0.3917208840276373	1485
Gtf2a2	0.38490024559184416	136
Gtf2b	0.4468499795359077	12292
Gtf2e2	0.4243316496136797	7262
Gtf2f1	0.3843892761542884	76
Gtf3c1	0.4565418871690168	14276
Gtf3c2	0.4235862681737358	227
Gtf3c4	0.4289254432174439	143
Hand1	0.4581409574675832	439
Hand2	0.44095310403768945	13614
Hcfc1	0.4332995663465907	13686
Hdac1	0.4449617872614931	13404
Hdac2	0.4379176091106092	15994
Hdac3	0.4343982145787701	15126
Hdac4	0.41957384470716347	826
Hells	0.4759306812530427	2174
Hexim1	0.45868958443311886	12950
Hic2	0.41995222143095035	1431
Hif1a	0.4557990822902501	4199
Hira	0.4134624744192363	126
Hmga2	0.41644006873093675	22
Hmgn2	0.41217885416837297	100
Hnf1a	0.41869906393497924	2588
Hnf1b	0.41083643375614187	1467
Hnf4a	0.42464338039391253	13994
Hnf4g	0.4029346978883726	6957
Hnrnpk	0.3689992111091565	291
Hnrnpl	0.4046965620120504	65
Hnrnpu	0.455916493350485	4681
Hopx	0.4593354267232041	8984
Hoxa11	0.4467704345478473	228
Hoxa13	0.43062190451806615	8317
Hoxb1	0.44445963550775147	9844
Hoxb4	0.42423718940569927	9347
Hoxc10	0.41918293544335766	134
Hoxc6	0.43257061404013036	141
Hoxd13	0.4431019305534116	3083
Hsf1	0.41702681429686383	3259
Hsf2	0.4578731595197773	23
Htatsf1	0.4813429741294967	4187
Htt	0.4698019861299615	20
Id2	0.4484603476901426	5954
Ikzf1	0.43216883853850535	14077
Ikzf2	0.491791035987822	2051
Ikzf3	0.46254701269487447	774
Ing1	0.37775748214486904	44
Ino80	0.456944612376232	13265
Insm1	0.4511441011634006	14253
Irf1	0.400072510737926	5933
Irf2	0.4400266246100894	2557
Irf2bp2	0.38728298682912354	2058
Irf3	0.4098599519447553	7957
Irf4	0.4318707739995933	16017
Irf5	0.4226377092218333	10646
Irf7	0.451004020474416	970
Irf8	0.41898800219214166	12495
Irf9	0.4319829736815652	9101
Isl1	0.4469870597668185	15471
Jarid2	0.47118415949418585	10999
Jmjd1c	0.4598105655081624	309
Jmjd6	0.4315503225120725	3682
Jun	0.43119034223637354	15949
Junb	0.4191148983956791	12296
Jund	0.42892619656657094	15863
Kansl3	0.48315289863328337	7797
Kat2a	0.4339186859361157	10951
Kat2b	0.4260393961427078	54
Kat5	0.45007238653809806	11488
Kat8	0.46220700568798057	7937
Kdm1a	0.43943064447719676	17138
Kdm2a	0.47360422399062374	7509
Kdm2b	0.46029772759325627	14302
Kdm3a	0.403937369696497	112
Kdm3b	0.40838551108393023	57
Kdm4a	0.523710595871562	3966
Kdm4c	0.4414279472948593	17471
Kdm4d	0.4607687777406468	43
Kdm5a	0.4426991552488469	12636
Kdm5b	0.37455849527619534	92
Kdm5c	0.47895335036378095	973
Kdm6a	0.4582773423651606	8541
Kdm6b	0.4577660465964776	10841
Klf3	0.44658716837306334	8357
Klf4	0.44376012424305256	16032
Klf5	0.43735175720597874	10214
Klf6	0.43931316636761364	392
Klf9	0.45314083708075226	1748
Kmt2a	0.43386968174619855	12094
Kmt2b	0.4588323864595567	14707
Kmt2c	0.4425845879350716	15214
Kmt2d	0.43894993505685653	15919
L3mbtl2	0.46582231444632444	262
Ldb1	0.4533931986457498	6638
Lef1	0.4139504568958074	167
Leo1	0.4128261586564737	1810
Lhx2	0.4717986193705599	2736
Lhx3	0.454327728647652	6179
Lhx6	0.44570067023333104	1802
Lin9	0.4376694340323534	2295
Lmnb1	0.44704895213216245	1209
Lmo2	0.4272483950248053	12772
Lmx1b	0.4080000951973278	65
Lrrfip1	0.4961719951827241	1482
Lyl1	0.3888499746022342	2729
Maf	0.4150292695382188	7099
Mafa	0.4302548296910053	2440
Mafb	0.40575268327350256	6803
Maff	0.4280207472885262	8797
Mafg	0.41129730270420334	275
Mafk	0.42224704925653433	12705
Mapk8	0.49083697474620713	4842
Max	0.43733949628241886	14855
Maz	0.4298718908609325	12346
Mbd1	0.502568650091486	592
Mbd2	0.4282297323755212	157
Mbd3	0.4490595576146383	15994
Mcrs1	0.4743941713246297	8575
Mecp2	0.42832810173970065	15831
Med1	0.4360535684207952	17020
Med12	0.4455445243908123	15282
Med23	0.3685272175865001	249
Med24	0.449102656857738	13112
Med26	0.4488824521197002	12111
Mef2a	0.4865016329885271	1779
Mef2c	0.4376710591858345	13880
Mef2d	0.4390333548898257	4241
Meis1	0.43549649373107474	16157
Men1	0.44867818260048614	11079
Mettl3	0.44564668367531013	15760
Mitf	0.42130225548052685	3170
Mllt3	0.42728977826170456	50
Mnx1	0.41067902882451024	411
Morc3	0.4648852268159826	527
Mphosph8	0.44928632352770814	1191
Mpnd	0.3682314037501129	19
Msl1	0.46107867697924704	1415
Msl2	0.45726771809654054	5664
Mta1	0.45418690362962066	61
Mta2	0.44118896040752525	14211
Mtf2	0.5297854878358856	6027
Mtor	0.4297830283019772	2005
Mxi1	0.43019555748810784	12988
Myb	0.42653876047229766	7768
Mybl1	0.4459091052815718	4074
Myc	0.4370812552158715	18043
Mycn	0.4661884793971022	5493
Myf5	0.4359520822335229	12079
Myo1c	0.4507694953831881	47
Myod1	0.4418499083341084	15386
Myog	0.44434989306289036	12883
Myt1	0.3878112287872779	139
Myt1l	0.4399215064726773	2591
Naa10	0.40646129042852225	85
Nacc1	0.5079246820273182	281
Nanog	0.4375438337244426	18070
Nap1l1	0.4535653243707002	2423
Nbn	0.4588464052274556	665
Ncapd3	0.456731806059315	9013
Ncapg	0.3902914026411161	98
Ncaph2	0.45937726615053515	13118
Ncoa2	0.426702405408753	10825
Ncoa3	0.39474972940160297	2433
Ncor1	0.4292010829037995	15756
Ncor2	0.45299960304100884	14736
Nelfa	0.447420517353539	13202
Nelfb	0.45574100006802737	9558
Nelfe	0.42796939250308724	12969
Neurod1	0.4478683324927352	13998
Neurod2	0.4492909874738977	15276
Neurog2	0.4499328773446086	15089
Nfat5	0.44281307513371915	178
Nfatc1	0.4252575230073141	2032
Nfatc2	0.39621994281693557	2687
Nfe2	0.40353792987576215	2233
Nfe2l1	0.4134571256035568	1527
Nfe2l2	0.4498992814093104	6323
Nfia	0.45023495077587533	6667
Nfib	0.42982101140712753	13131
Nfic	0.5008929922587695	86
Nfil3	0.39677286225923414	5435
Nfkb1	0.4209605268000059	1432
Nfya	0.44197327125018715	4564
Nfyb	0.42217828066132745	2415
Nfyc	0.41833386220909247	2553
Nipbl	0.4383681238186728	15267
Nkx2-1	0.4309254224991738	6779
Nkx2-2	0.4580813915081423	8567
Nkx2-5	0.44704482914669197	8508
Nkx3-1	0.4273771191710252	7668
Nkx3-2	0.4530224650542258	629
Nkx6-1	0.45382956500028315	10816
Nlrc5	0.4486142571629363	456
Nlrp3	0.5456753793507456	5
Nono	0.4864362343637001	94
Notch1	0.43955962508503815	10151
Npas3	0.46143764498478795	9117
Nr0b1	0.4334623473385985	7229
Nr0b2	0.46789974855268757	1332
Nr1d1	0.42982394564063153	14029
Nr1d2	0.3951663789597856	1948
Nr1h2	0.42550081116953503	12287
Nr1h3	0.40017271675585925	7695
Nr1h4	0.4008936578993582	3012
Nr2f2	0.43759681678344886	130
Nr3c1	0.4330240522190065	17537
Nr4a1	0.4314044625085944	16192
Nr5a1	0.4422125828536182	2130
Nr5a2	0.41592626220392076	5912
Nrf1	0.4529009436307476	15270
Nsl1	0.5122973623105941	2451
Nucks1	0.37843474680590794	66
Nup153	0.42672858040527833	51
Nup98	0.45730688840460776	1010
Obox1	0.46438753525003973	1376
Ogdh	0.4711034323829418	6444
Ogt	0.4005808211003363	1068
Olig2	0.4552075304330494	15109
Onecut1	0.42958814513806876	10549
Onecut2	0.44929794646570875	12731
Otx2	0.44017935685618437	16465
Ovol2	0.4576551435269786	700
Paf1	0.39928493206168336	1312
Parp1	0.4611388776184794	316
Pax3	0.47373089548537556	1333
Pax5	0.42634626654541274	5080
Pax6	0.45506232443117145	12075
Pax7	0.4390703207733821	16981
Paxip1	0.40501555277018375	5054
Pbrm1	0.45501390863557706	6265
Pbx1	0.4288561153216341	9922
Pcgf1	0.5250798134321126	3627
Pcgf2	0.5099794749696032	5954
Pcgf3	0.4506264504879839	375
Pcgf5	0.44663177713579444	60
Pcgf6	0.46390310981282434	6809
Pcna	0.42993482234795377	125
Pdx1	0.44609612817303723	1389
Pgr	0.4388369314744147	14692
Phc1	0.4471348110923227	35
Phf19	0.4241120483913823	123
Phf2	0.4709860542623651	4697
Phf20	0.5252768352574984	12
Phf5a	0.4160844244070789	295
Phf6	0.4579060532729255	10996
Phf8	0.44821390520267734	12243
Phrf1	0.3866387915914797	135
Pitx1	0.4421356465778257	5125
Pknox1	0.4298771491234165	13414
Plagl1	0.4529643731559244	6290
Pml	0.41643518692754616	58
Pou2af1	0.454461809460662	7743
Pou2f1	0.44547235103510074	10471
Pou2f3	0.4423722180078529	557
Pou3f1	0.4612033998848037	3280
Pou3f2	0.461148872238784	5715
Pou5f1	0.4360990061821296	18447
Ppara	0.4276367395911778	12838
Pparg	0.43426759055856695	16563
Prdm1	0.39615885067865947	3916
Prdm13	0.4680657371006968	8558
Prdm14	0.4173561387752557	412
Prdm15	0.45174349136327774	15151
Prdm16	0.4304299704426493	12773
Prdm5	0.42769868646724046	1278
Prdm9	0.44472834268729944	7669
Prm1	0.37004646686560194	29
Prmt5	0.38377325859793693	46
Prox1	0.395009716086883	8221
Psip1	0.45722409376029854	77
Ptf1a	0.4371669213700111	11898
Pwp1	0.3974641893169849	70
Rad21	0.43880870434073865	17745
Rad23b	0.45099269418427906	13430
Rad51	0.43975133487516865	2349
Raf1	0.43789003353064354	1255
Rag1	0.4461995738764388	10771
Rag2	0.4394980933112586	12675
Rai1	0.49547070352988964	8980
Rara	0.429591266696331	13372
Rarb	0.4414142328764194	2708
Rarg	0.43689298417099165	335
Rb1	0.3832388996812512	87
Rbbp4	0.40795520820679637	1233
Rbbp5	0.4826688744761511	6051
Rbfox2	0.45169854583844093	14103
Rbp2	0.4049206109214611	49
Rbpj	0.432398988467457	13759
Rbpjl	0.4379745660275198	7137
Rcor1	0.4222328731007341	11650
Rcor2	0.45916538788527794	293
Rec8	0.470917094906106	11400
Rel	0.38693794723869274	2668
Rela	0.428645366095929	16699
Relb	0.4234171995257741	77
Rest	0.44713320035079596	11900
Rfx1	0.4586375366196502	10232
Rfx2	0.5023485689129602	2771
Rfx3	0.46973117000184783	7686
Rif1	0.4225110096472306	5090
Rnf2	0.4458052974315419	16611
Rora	0.39254862231697396	3758
Rorc	0.4203120002205467	6839
Rpa1	0.42208558084702963	3825
Rpa2	0.423434520674642	1046
Rtf1	0.3847821133477672	170
Runx1	0.4369733262737952	16696
Runx2	0.43665813244476454	15806
Runx3	0.43486169929583457	10924
Ruvbl1	0.3970882343183016	96
Ruvbl2	0.39634044339066643	102
Rxra	0.4341308315286765	18384
Rybp	0.47308984520346875	9212
Sall4	0.4362436685773108	9686
Sap130	0.470759388082032	12289
Sap18	0.46489250326315595	925
Satb1	0.42680179131301016	13301
Satb2	0.4426020381739606	219
Scml2	0.4265774140125505	66
Setd1a	0.4481127553631481	14544
Setd2	0.5431823232088266	7
Setdb1	0.4238465333237905	5712
Sfmbt1	0.5059967530084631	1741
Sfmbt2	0.45823416510026094	80
Shox2	0.4350770724792816	43
Sin3a	0.44497964645363597	15712
Sin3b	0.39441384442698396	1074
Sirt1	0.44814579187970277	8296
Sirt6	0.47890258071744324	2467
Sirt7	0.482224647566526	39
Six1	0.379418912486748	101
Six2	0.4470660723582104	11774
Six4	0.4513975950894764	11612
Smad1	0.41480818628567523	5154
Smad2	0.4465741365900164	15544
Smad3	0.4537820119224093	15102
Smad4	0.441119923043829	14728
Smad6	0.41070192303476255	73
Smarca4	0.4350918754038553	18558
Smarca5	0.43640391825307856	9982
Smarcad1	0.4036385763232219	853
Smarcc1	0.42112811038696024	1993
Smarcd1	0.39937661620123904	297
Smc1a	0.44101713296689876	17148
Smc3	0.43687080313220833	15463
Smc5	0.38511052632767717	265
Smchd1	0.49630905993544605	255
Smyd2	0.48155584847460076	5
Snai1	0.6283847378175934	604
Sox10	0.4569481800135426	2602
Sox11	0.44189490989205343	11031
Sox13	0.404546614505972	108
Sox17	0.43741228502844876	1871
Sox2	0.43814681552944273	17684
Sox3	0.4673194355138323	2142
Sox30	0.45239214337287986	151
Sox4	0.4780673641382367	8425
Sox5	0.4173995607517452	147
Sox6	0.42111989801818844	171
Sox9	0.44310636793443425	13382
Sp1	0.4480609783002003	13436
Sp110	0.6767438735798449	10
Sp3	0.45421817045077195	14209
Sp7	0.44930209697900075	133
Sp9	0.4543390974600073	15109
Spen	0.4185498918521046	183
Spi1	0.4330472004956966	18552
Spin1	0.4705593546215858	9772
Srebf1	0.4399392686074198	13907
Srf	0.43888569378283276	15277
Srsf1	0.4004741867743013	128
Srsf2	0.4194809971556499	98
Ss18	0.4103469326428209	2658
Ssrp1	0.39464809904666287	117
Stag1	0.4433817209761493	14758
Stag2	0.4429935043149328	14594
Stat1	0.43113340286473845	15202
Stat2	0.43116682730519323	11896
Stat3	0.4385115501422178	15246
Stat4	0.42370867845319304	7902
Stat5a	0.42946433079046603	16000
Stat5b	0.42322256454717916	10496
Stat6	0.4233618509060476	10491
Sumo1	0.4335435069056404	11241
Sumo2	0.4357265089280862	11798
Supt16	0.400169446240303	911
Supt5	0.4484202958235405	11038
Supt6	0.4378413625316628	4824
Suv39h1	0.4104355337520203	37
Suv39h2	0.4416825154882818	46
Suz12	0.45350801064434465	14909
T	0.4387859317807134	2821
Taf1	0.4508232223166213	110
Taf10	0.38234823215403796	1645
Taf15	0.4214019263742766	3823
Taf2	0.46224531221506204	13690
Taf3	0.449391482873678	12354
Taf7l	0.43661240864566786	12910
Taf9b	0.4506088143119091	946
Tal1	0.4224339210224975	11677
Tbl1x	0.4944392745003552	5255
Tbp	0.4362024951393848	16803
Tbpl1	0.47127598415408267	8700
Tbr1	0.4807428422876505	5731
Tbx19	0.4494946117475623	5881
Tbx20	0.5006027446211423	546
Tbx21	0.43577682909498605	11618
Tbx3	0.44433083013446234	14048
Tbx4	0.3770690460029199	102
Tbx5	0.4382406047590763	14647
Tcea1	0.4738755959689128	2592
Tcf12	0.44479620264637554	16849
Tcf3	0.4421381931910549	16555
Tcf4	0.4267280246572189	11200
Tcf7	0.44344163094048644	16753
Tcf7l1	0.4311831401435169	45
Tcf7l2	0.4379892680957992	5010
Tdg	0.46075168542697614	9707
Tead1	0.4240016913452105	11387
Tead2	0.4211568382776753	1092
Tead4	0.4273505495662655	15314
Terf1	0.46067793242070515	240
Terf2ip	0.4153101819710483	172
Tet1	0.4505451878453252	15585
Tet2	0.4427876902619475	14531
Tet3	0.45306494699509764	10569
Tfam	0.4487233916647124	54
Tfap2a	0.43950265362994617	12154
Tfap2c	0.4443825216391178	16540
Tfap4	0.44421807290743653	11380
Tfcp2l1	0.41301666121038483	144
Tfe3	0.42837727548715576	4538
Tgif1	0.4319527808834347	11221
Tgif2	0.45929512670083067	3662
Thap11	0.4827116571373415	1031
Thoc5	0.9705471080596391	3
Thra	0.3987155124903289	139
Thrb	0.4180916259551337	58
Tle1	0.41627404769773235	778
Tle3	0.4230718015068575	12905
Tlx1	0.4180363260003739	389
Tmem131	0.4320282548970537	8947
Tnni2	0.3113254054917765	35
Top1	0.45619522356885644	196
Top2a	0.4658794130748634	23
Top2b	0.4235152790347504	47
Tox	0.4752434768103668	3104
Trim28	0.44075395192742234	13881
Trim33	0.4249437449174258	12800
Trp53	0.42662761929269744	5601
Trp63	0.4427642450882451	10176
Tsc22d3	0.4206595471500151	45
Twist1	0.44437303930146554	41
Ubtf	0.44220814167983236	7639
Uhrf1	0.47859148041660304	14
Usf1	0.4301989485740066	6613
Usf2	0.42944553297979754	14363
Usp16	0.49183381959259753	2234
Usp7	0.39752339911619755	88
Utf1	0.4494795368963744	16117
Vdr	0.4263081943426833	14967
Vsx2	0.4378410857115158	3633
Wapl	0.4291868803255003	3464
Was	0.38071318564337214	26
Wdr11	0.46554754317515223	7001
Wdr5	0.4377857840998674	11447
Wdr61	0.4363931463078228	1109
Wiz	0.46102257435338156	13976
Wt1	0.45949588278215486	7130
Xbp1	0.422620639964268	10467
Yap1	0.449445152947435	8434
Yeats4	0.43535580021305476	441
Yy1	0.4568428848477531	13227
Yy2	0.4668870864154059	20
Zbtb16	0.44926317329561605	6323
Zbtb17	0.4337500747219547	5040
Zbtb2	0.47846628314568934	7154
Zbtb24	0.4175750213255657	126
Zc3h10	0.4838782781642716	3809
Zc3h11a	0.4302989506371263	9075
Zeb1	0.4556369221656611	4556
Zfp143	0.4522342052255971	6165
Zfp217	0.4554922083127521	10404
Zfp281	0.4495877112262513	15796
Zfp322a	0.5031463971159783	218
Zfp335	0.44531125448279085	328
Zfp384	0.44541614380099614	16790
Zfp42	0.45844926068297875	10581
Zfp57	0.44818229999794806	15117
Zfp64	0.42086263316547257	391
Zfp708	0.469593173860918	61
Zfpm1	0.45208407845376103	6631
Zic1	0.4353705486032503	2083
Zic2	0.44824439906676006	15552
Zic3	0.4521566916662773	4240
Zkscan1	0.4254765901507825	5528
Zmiz1	0.43385670945712335	11167
Zmynd8	0.45670699974109924	3245
Zscan5b	0.3591859069240877	39
